id,name,parent,kind
"regulatory contractual and reputational exposure::gdpr international privacy law exposure for globally operating hotel chains and cruise lines","GDPR/international privacy law exposure for globally operating hotel chains and cruise lines","Regulatory, contractual and reputational exposure","hazard"
"regulatory contractual and reputational exposure::consumer class action litigation risk following large loyalty program or guest data breaches mgm caesars marriott","Consumer class-action litigation risk following large loyalty-program or guest-data breaches (MGM, Caesars, Marriott)","Regulatory, contractual and reputational exposure","hazard"
"regulatory contractual and reputational exposure::brand reputational risk disproportionate to direct financial loss given guest trust dependent business models","Brand/reputational risk disproportionate to direct financial loss, given guest-trust-dependent business models","Regulatory, contractual and reputational exposure","hazard"
"guest facing reservation and property systems::property management systems pms for hotels resorts","Property Management Systems (PMS) for hotels/resorts","Guest-facing reservation and property systems","exposure"
"guest facing reservation and property systems::central reservation systems crs and channel managers ota integrations","Central reservation systems (CRS) and channel managers (OTA integrations)","Guest-facing reservation and property systems","exposure"
"guest facing reservation and property systems::digital room key electronic lock systems","Digital room-key / electronic lock systems","Guest-facing reservation and property systems","exposure"
"guest facing reservation and property systems::restaurant venue reservation and table management platforms","Restaurant/venue reservation and table-management platforms","Guest-facing reservation and property systems","exposure"
"guest facing reservation and property systems::ticketing and admissions systems theme parks museums theaters sporting entertainment venues","Ticketing and admissions systems (theme parks, museums, theaters, sporting/entertainment venues)","Guest-facing reservation and property systems","exposure"
"guest facing reservation and property systems::event and conference booking platforms","Event and conference booking platforms","Guest-facing reservation and property systems","exposure"
"payment and point of sale pos infrastructure::pos terminals and back office pos servers restaurants bars retail outlets cafs","POS terminals and back-office POS servers (restaurants, bars, retail outlets, cafés)","Payment and point-of-sale (POS) infrastructure","exposure"
"payment and point of sale pos infrastructure::payment gateways and card present processing systems","Payment gateways and card-present processing systems","Payment and point-of-sale (POS) infrastructure","exposure"
"payment and point of sale pos infrastructure::gift card stored value and mobile order ahead platforms","Gift card / stored-value and mobile-order-ahead platforms","Payment and point-of-sale (POS) infrastructure","exposure"
"payment and point of sale pos infrastructure::casino cage kiosk and cashless wagering systems","Casino cage, kiosk, and cashless-wagering systems","Payment and point-of-sale (POS) infrastructure","exposure"
"payment and point of sale pos infrastructure::atms and self service payment kiosks on premises","ATMs and self-service payment kiosks on-premises","Payment and point-of-sale (POS) infrastructure","exposure"
"guest and member personal data pii::loyalty rewards program databases names contact info tier points data","Loyalty/rewards program databases (names, contact info, tier/points data)","Guest and member personal data (PII)","exposure"
"guest and member personal data pii::government id data passport drivers license national id numbers collected for check in kyc casino compliance","Government ID data (passport, driver's license, national ID numbers) collected for check-in/KYC/casino compliance","Guest and member personal data (PII)","exposure"
"guest and member personal data pii::social security national insurance numbers employee and in some jurisdictions guest records","Social Security / national insurance numbers (employee and, in some jurisdictions, guest records)","Guest and member personal data (PII)","exposure"
"guest and member personal data pii::payment card and billing data","Payment card and billing data","Guest and member personal data (PII)","exposure"
"guest and member personal data pii::health dietary accessibility data spas cruise lines event catering","Health/dietary/accessibility data (spas, cruise lines, event catering)","Guest and member personal data (PII)","exposure"
"guest and member personal data pii::minors data theme parks family resorts youth programs","Minors' data (theme parks, family resorts, youth programs)","Guest and member personal data (PII)","exposure"
"casino and gaming specific systems::slot machine and cashless wagering networks","Slot machine and cashless wagering networks","Casino- and gaming-specific systems","exposure"
"casino and gaming specific systems::surveillance and physical security systems often networked to it","Surveillance and physical security systems (often networked to IT)","Casino- and gaming-specific systems","exposure"
"casino and gaming specific systems::player tracking rewards card systems","Player-tracking / rewards-card systems","Casino- and gaming-specific systems","exposure"
"casino and gaming specific systems::sports betting and online gaming platforms","Sports betting and online gaming platforms","Casino- and gaming-specific systems","exposure"
"casino and gaming specific systems::regulatory compliance reporting systems gaming commissions","Regulatory/compliance reporting systems (gaming commissions)","Casino- and gaming-specific systems","exposure"
"third party and supply chain exposure::it help desk managed service providers a common initial access vector eg mgm caesars","IT help desk / managed service providers (a common initial-access vector, e.g., MGM/Caesars)","Third-party and supply-chain exposure","exposure"
"third party and supply chain exposure::third party booking ticketing and ota platforms","Third-party booking, ticketing, and OTA platforms","Third-party and supply-chain exposure","exposure"
"third party and supply chain exposure::food and beverage supply chain and distribution logistics vendors eg blue yonder type saas incidents","Food & beverage supply chain and distribution/logistics vendors (e.g., Blue Yonder-type SaaS incidents)","Third-party and supply-chain exposure","exposure"
"third party and supply chain exposure::construction renovation and facilities contractors with access to internal systems data eg disneyland paris partner breach","Construction, renovation, and facilities contractors with access to internal systems/data (e.g., Disneyland Paris partner breach)","Third-party and supply-chain exposure","exposure"
"third party and supply chain exposure::staffing agencies and payroll hr outsourcing providers","Staffing agencies and payroll/HR outsourcing providers","Third-party and supply-chain exposure","exposure"
"third party and supply chain exposure::franchise and multi brand management companies operating shared back office systems across many independently branded properties","Franchise and multi-brand management companies operating shared back-office systems across many independently branded properties","Third-party and supply-chain exposure","exposure"
"building iot and physical operations technology::hvac elevator and building management systems","HVAC, elevator, and building-management systems","Building, IoT, and physical-operations technology","exposure"
"building iot and physical operations technology::digital signage and in room entertainment systems","Digital signage and in-room entertainment systems","Building, IoT, and physical-operations technology","exposure"
"building iot and physical operations technology::wi fi and guest network infrastructure","Wi-Fi and guest network infrastructure","Building, IoT, and physical-operations technology","exposure"
"building iot and physical operations technology::access control and key card provisioning systems","Access control and key-card provisioning systems","Building, IoT, and physical-operations technology","exposure"
"building iot and physical operations technology::ride attraction control systems theme parks and av production systems theaters arenas","Ride/attraction control systems (theme parks) and AV/production systems (theaters, arenas)","Building, IoT, and physical-operations technology","exposure"
"corporate financial and employee systems::employee hr payroll records ssns banking details","Employee HR/payroll records (SSNs, banking details)","Corporate, financial, and employee systems","exposure"
"corporate financial and employee systems::corporate financial erp systems","Corporate financial/ERP systems","Corporate, financial, and employee systems","exposure"
"corporate financial and employee systems::email and collaboration communication platforms","Email and collaboration/communication platforms","Corporate, financial, and employee systems","exposure"
"corporate financial and employee systems::franchise financial reporting and multi property accounting consolidations","Franchise financial reporting and multi-property accounting consolidations","Corporate, financial, and employee systems","exposure"
"initial access vectors::phishing business email compromise targeting procurement logistics and finance staff single click compromise as in the ahold delhaize usa breach","Phishing / business email compromise targeting procurement, logistics and finance staff (single-click compromise, as in the Ahold Delhaize USA breach)","Initial Access Vectors","hazard"
"initial access vectors::exploitation of internet facing edge devices and unpatched vpns rdp and firewalls at remote farms elevators plants and cold storage sites","Exploitation of internet-facing/edge devices and unpatched VPNs, RDP and firewalls at remote farms, elevators, plants and cold-storage sites","Initial Access Vectors","hazard"
"initial access vectors::mass exploitation of zero day managed file transfer and enterprise software vulnerabilities cl0p style campaigns against the sector","Mass-exploitation of zero-day/managed-file-transfer and enterprise software vulnerabilities (Cl0p-style campaigns against the sector)","Initial Access Vectors","hazard"
"initial access vectors::valid stolen credentials sourced from infostealer logs ransomwarelive records infostealer linked exposure for many food ag domains","Valid/stolen credentials sourced from infostealer logs (ransomware.live records infostealer-linked exposure for many food/ag domains)","Initial Access Vectors","hazard"
"initial access vectors::compromise of third party it ot integrators msps ag tech saas and remote maintenance access into plant networks","Compromise of third-party IT/OT integrators, MSPs, ag-tech SaaS and remote maintenance access into plant networks","Initial Access Vectors","hazard"
"initial access vectors::weak segmentation between corporate it and plant ot allowing lateral movement from an office foothold into production","Weak segmentation between corporate IT and plant OT allowing lateral movement from an office foothold into production","Initial Access Vectors","hazard"
"extortion and impact tactics::encryption of production erp warehouse and ordering systems that halts slaughter processing packing invoicing and dispatch jbs kp snacks unfi","Encryption of production/ERP/warehouse and ordering systems that halts slaughter, processing, packing, invoicing and dispatch (JBS, KP Snacks, UNFI)","Extortion & Impact Tactics","hazard"
"extortion and impact tactics::double extortion exfiltration of data plus threat to leak conti kp snacks inc ransom ahold delhaize blackmatter new cooperative","Double extortion: exfiltration of data plus threat to leak (Conti/KP Snacks; INC Ransom/Ahold Delhaize; BlackMatter/NEW Cooperative)","Extortion & Impact Tactics","hazard"
"extortion and impact tactics::perishability driven time pressure spoilage of raw materials finished goods and livestock welfare used as urgency leverage","Perishability-driven time pressure — spoilage of raw materials, finished goods and livestock welfare used as urgency leverage","Extortion & Impact Tactics","hazard"
"extortion and impact tactics::food security public safety framing to raise reputational and regulatory stakes on a critical infrastructure victim","Food-security / public-safety framing to raise reputational and regulatory stakes on a critical-infrastructure victim","Extortion & Impact Tactics","hazard"
"extortion and impact tactics::re extortion and data recycling eg 2026 coinbasecartel posting reusing jbs data years after the original event","Re-extortion and data-recycling (e.g., 2026 'coinbasecartel' posting reusing JBS data years after the original event)","Extortion & Impact Tactics","hazard"
"extortion and impact tactics::triple extortion harassment of customers growers and downstream retailers whose shelves empty during an outage","Triple extortion / harassment of customers, growers, and downstream retailers whose shelves empty during an outage","Extortion & Impact Tactics","hazard"
"ot ics and physical process risk::plant scada plc and process control systems for slaughter lines pasteurization cooking canning milling and bottling","Plant SCADA/PLC and process-control systems for slaughter lines, pasteurization, cooking, canning, milling and bottling","OT / ICS & Physical-Process Risk","hazard"
"ot ics and physical process risk::cold chain and refrigeration hvac controls where downtime causes spoilage or food safety failures","Cold-chain and refrigeration/HVAC controls where downtime causes spoilage or food-safety failures","OT / ICS & Physical-Process Risk","hazard"
"ot ics and physical process risk::automated milking feeding ventilation and climate systems in livestock poultry dairy operations animal welfare risk","Automated milking, feeding, ventilation and climate systems in livestock/poultry/dairy operations (animal-welfare risk)","OT / ICS & Physical-Process Risk","hazard"
"ot ics and physical process risk::precision agriculture and equipment telematics gps guided machinery grain drying irrigation environmental controls","Precision-agriculture and equipment telematics (GPS-guided machinery, grain-drying, irrigation, environmental controls)","OT / ICS & Physical-Process Risk","hazard"
"ot ics and physical process risk::building management and food safety monitoring systems temperature logging haccp linked sensors","Building-management and food-safety monitoring systems (temperature logging, HACCP-linked sensors)","OT / ICS & Physical-Process Risk","hazard"
"ot ics and physical process risk::it ot convergence and flat networks that let office ransomware reach production floors","IT/OT convergence and flat networks that let office ransomware reach production floors","OT / ICS & Physical-Process Risk","hazard"
"supply chain and third party concentration risk::concentration risk in dominant nodes few large meatpackers a single primary grocery distributor such as unfi supplying 30000 stores","Concentration risk in dominant nodes (few large meatpackers, a single primary grocery distributor such as UNFI supplying 30,000+ stores)","Supply-Chain & Third-Party Concentration Risk","hazard"
"supply chain and third party concentration risk::cooperative shared platform risk where one hub serves many farms new cooperative claimed to touch 40 of us grain production","Cooperative/shared-platform risk where one hub serves many farms (NEW Cooperative claimed to touch ~40% of US grain production)","Supply-Chain & Third-Party Concentration Risk","hazard"
"supply chain and third party concentration risk::downstream disruption to retailers and food service empty shelves salad kit and crisp shortages creating contractual and liability exposure","Downstream disruption to retailers and food service (empty shelves, salad-kit and crisp shortages) creating contractual and liability exposure","Supply-Chain & Third-Party Concentration Risk","hazard"
"supply chain and third party concentration risk::upstream dependency on agrochemical seed feed packaging and logistics vendors as attack conduits","Upstream dependency on agrochemical, seed, feed, packaging and logistics vendors as attack conduits","Supply-Chain & Third-Party Concentration Risk","hazard"
"supply chain and third party concentration risk::ag tech saas and cloud erp dependencies soilmap type platforms farm management software","Ag-tech / SaaS and cloud ERP dependencies (SoilMap-type platforms, farm-management software)","Supply-Chain & Third-Party Concentration Risk","hazard"
"supply chain and third party concentration risk::cross border multi plant footprints that let a single intrusion affect operations on several continents jbs us canada australia","Cross-border, multi-plant footprints that let a single intrusion affect operations on several continents (JBS US/Canada/Australia)","Supply-Chain & Third-Party Concentration Risk","hazard"
"regulatory legal and food security exposure::critical infrastructure reporting obligations cisa circia in the us nis2 in the eu and national food security scrutiny","Critical-infrastructure reporting obligations (CISA/CIRCIA in the US, NIS2 in the EU) and national food-security scrutiny","Regulatory, Legal & Food-Security Exposure","hazard"
"regulatory legal and food security exposure::data breach notification and privacy liability state ag filings gdpr for employee grower and customer pii ssns ahold delhaize 22m individuals","Data-breach notification and privacy liability (state AG filings, GDPR) for employee, grower and customer PII/SSNs (Ahold Delhaize 2.2M individuals)","Regulatory, Legal & Food-Security Exposure","hazard"
"regulatory legal and food security exposure::food safety regulatory fallout when process monitoring systems are compromised fda usda haccp records","Food-safety regulatory fallout when process/monitoring systems are compromised (FDA/USDA, HACCP records)","Regulatory, Legal & Food-Security Exposure","hazard"
"regulatory legal and food security exposure::sanctions ofac risk when paying groups linked to sanctioned actors","Sanctions/OFAC risk when paying groups linked to sanctioned actors","Regulatory, Legal & Food-Security Exposure","hazard"
"regulatory legal and food security exposure::securities disclosure exposure for public companies sec 8 k 6 k materiality dole and unfi quantified impacts in filings","Securities-disclosure exposure for public companies (SEC 8-K / 6-K materiality; Dole and UNFI quantified impacts in filings)","Regulatory, Legal & Food-Security Exposure","hazard"
"regulatory legal and food security exposure::contractual penalties and litigation from retailers distributors and cooperative members affected by supply failure","Contractual penalties and litigation from retailers, distributors and cooperative members affected by supply failure","Regulatory, Legal & Food-Security Exposure","hazard"
"insider workforce and operational maturity risk::large seasonal temporary and low turnover training workforce increasing phishing susceptibility","Large seasonal/temporary and low-turnover-training workforce increasing phishing susceptibility","Insider, Workforce & Operational-Maturity Risk","hazard"
"insider workforce and operational maturity risk::historically thin cybersecurity budgets and staffing especially at farms co ops and mid size processors dhs records noted jbss pre attack security as unusually poor","Historically thin cybersecurity budgets and staffing, especially at farms, co-ops and mid-size processors (DHS records noted JBS's pre-attack security as unusually poor)","Insider, Workforce & Operational-Maturity Risk","hazard"
"insider workforce and operational maturity risk::legacy and end of life systems in plants and back office dole half of legacy servers affected","Legacy and end-of-life systems in plants and back-office (Dole: half of legacy servers affected)","Insider, Workforce & Operational-Maturity Risk","hazard"
"insider workforce and operational maturity risk::limited backup recovery testing and lack of manual fallback procedures for automated operations","Limited backup/recovery testing and lack of manual fallback procedures for automated operations","Insider, Workforce & Operational-Maturity Risk","hazard"
"insider workforce and operational maturity risk::dispersed rural sites with inconsistent monitoring and slow patch cycles","Dispersed rural sites with inconsistent monitoring and slow patch cycles","Insider, Workforce & Operational-Maturity Risk","hazard"
"insider workforce and operational maturity risk::insider access at co ops and family closely held businesses with informal it governance","Insider access at co-ops and family/closely-held businesses with informal IT governance","Insider, Workforce & Operational-Maturity Risk","hazard"
"production and operational technology systems::processing line scada plc dcs slaughter milling pasteurization cooking canning bottling","Processing-line SCADA/PLC/DCS (slaughter, milling, pasteurization, cooking, canning, bottling)","Production & Operational Technology Systems","exposure"
"production and operational technology systems::cold storage refrigeration hvac and environmental controls","Cold-storage / refrigeration / HVAC and environmental controls","Production & Operational Technology Systems","exposure"
"production and operational technology systems::automated milking feeding ventilation and livestock climate systems","Automated milking, feeding, ventilation and livestock climate systems","Production & Operational Technology Systems","exposure"
"production and operational technology systems::precision ag equipment telematics gps guidance irrigation and grain drying controls","Precision-ag equipment, telematics, GPS guidance, irrigation and grain-drying controls","Production & Operational Technology Systems","exposure"
"production and operational technology systems::food safety and quality monitoring sensor systems temperature logging haccp instrumentation","Food-safety and quality monitoring/sensor systems (temperature logging, HACCP instrumentation)","Production & Operational Technology Systems","exposure"
"production and operational technology systems::warehouse automation robotics and conveyance in distribution centers","Warehouse automation, robotics and conveyance in distribution centers","Production & Operational Technology Systems","exposure"
"enterprise it erp and ordering logistics platforms::erp mrp and inventory management systems","ERP / MRP and inventory-management systems","Enterprise IT, ERP & Ordering/Logistics Platforms","exposure"
"enterprise it erp and ordering logistics platforms::electronic ordering edi invoicing and payment systems unfi outage crippled ordering invoicing","Electronic ordering, EDI, invoicing and payment systems (UNFI outage crippled ordering/invoicing)","Enterprise IT, ERP & Ordering/Logistics Platforms","exposure"
"enterprise it erp and ordering logistics platforms::warehouse management and transportation fleet management systems","Warehouse-management and transportation/fleet-management systems","Enterprise IT, ERP & Ordering/Logistics Platforms","exposure"
"enterprise it erp and ordering logistics platforms::corporate email file repositories and active directory identity infrastructure","Corporate email, file repositories and Active Directory/identity infrastructure","Enterprise IT, ERP & Ordering/Logistics Platforms","exposure"
"enterprise it erp and ordering logistics platforms::back office finance hr and payroll systems","Back-office finance, HR and payroll systems","Enterprise IT, ERP & Ordering/Logistics Platforms","exposure"
"enterprise it erp and ordering logistics platforms::legacy and end of life servers and end user computers","Legacy and end-of-life servers and end-user computers","Enterprise IT, ERP & Ordering/Logistics Platforms","exposure"
"sensitive data assets::employee grower pii including ssns drivers licenses and passports ahold delhaize names dob government ids","Employee/grower PII including SSNs, driver's licenses and passports (Ahold Delhaize: names, DOB, government IDs)","Sensitive Data Assets","exposure"
"sensitive data assets::customer and loyalty pharmacy data at grocery affiliated operations","Customer and loyalty/pharmacy data at grocery-affiliated operations","Sensitive Data Assets","exposure"
"sensitive data assets::financial banking and payment card records","Financial, banking and payment-card records","Sensitive Data Assets","exposure"
"sensitive data assets::proprietary r and d recipes breeding genetics data and agronomic ip blackmatter stole new cooperatives soilmap source code","Proprietary R&D, recipes, breeding/genetics data and agronomic IP (BlackMatter stole NEW Cooperative's SoilMap source code)","Sensitive Data Assets","exposure"
"sensitive data assets::contracts pricing supplier and cooperative member records","Contracts, pricing, supplier and cooperative-member records","Sensitive Data Assets","exposure"
"sensitive data assets::food safety traceability and compliance documentation","Food-safety, traceability and compliance documentation","Sensitive Data Assets","exposure"
"third party and supply chain dependencies::grocery retailers food service buyers and downstream distributors dependent on continuous supply","Grocery retailers, food-service buyers and downstream distributors dependent on continuous supply","Third-Party & Supply-Chain Dependencies","exposure"
"third party and supply chain dependencies::cooperative members and affiliated farms sharing a common platform hub","Cooperative members and affiliated farms sharing a common platform/hub","Third-Party & Supply-Chain Dependencies","exposure"
"third party and supply chain dependencies::upstream input suppliers seed feed fertilizer agrochemicals packaging","Upstream input suppliers (seed, feed, fertilizer, agrochemicals, packaging)","Third-Party & Supply-Chain Dependencies","exposure"
"third party and supply chain dependencies::logistics cold chain and 3pl transportation providers","Logistics, cold-chain and 3PL transportation providers","Third-Party & Supply-Chain Dependencies","exposure"
"third party and supply chain dependencies::ag tech farm management saas cloud erp and remote support msps integrators","Ag-tech / farm-management SaaS, cloud ERP and remote-support MSPs/integrators","Third-Party & Supply-Chain Dependencies","exposure"
"third party and supply chain dependencies::payment processors and banking partners","Payment processors and banking partners","Third-Party & Supply-Chain Dependencies","exposure"
"physical goods livestock and continuity assets::perishable raw materials and finished inventory at risk of spoilage during outages","Perishable raw materials and finished inventory at risk of spoilage during outages","Physical Goods, Livestock & Continuity Assets","exposure"
"physical goods livestock and continuity assets::live animals dependent on automated feeding watering and climate control welfare and mortality risk","Live animals dependent on automated feeding, watering and climate control (welfare and mortality risk)","Physical Goods, Livestock & Continuity Assets","exposure"
"physical goods livestock and continuity assets::cold chain integrity across storage and transit","Cold-chain integrity across storage and transit","Physical Goods, Livestock & Continuity Assets","exposure"
"physical goods livestock and continuity assets::seasonal time critical processing windows harvest slaughter planting with no slack to absorb downtime","Seasonal/time-critical processing windows (harvest, slaughter, planting) with no slack to absorb downtime","Physical Goods, Livestock & Continuity Assets","exposure"
"physical goods livestock and continuity assets::manual workaround capacity and business continuity backup infrastructure","Manual-workaround capacity and business-continuity/backup infrastructure","Physical Goods, Livestock & Continuity Assets","exposure"
"physical goods livestock and continuity assets::brand reputation and consumer trust assets tied to food safety and availability","Brand/reputation and consumer-trust assets tied to food safety and availability","Physical Goods, Livestock & Continuity Assets","exposure"
"initial access vectors::phishing bec targeting project managers estimators and accounts payable staff constructions high value milestone based subcontractor and supplier payments make it a prime invoice fraud bec target often paired with or following a ransomware intrusion","Phishing/BEC targeting project managers, estimators and accounts-payable staff (construction's high-value, milestone-based subcontractor and supplier payments make it a prime invoice-fraud/BEC target, often paired with or following a ransomware intrusion)","Initial Access Vectors","hazard"
"initial access vectors::exploited perimeter and file transfer erp vulnerabilities in widely used enterprise software eg clops 2025 oracle e business suite cve 2025 61882 zero day campaign hit multiple construction firms including bechtel and kier within days of each other","Exploited perimeter and file-transfer/ERP vulnerabilities in widely-used enterprise software (e.g., Clop's 2025 Oracle E-Business Suite CVE-2025-61882 zero-day campaign hit multiple construction firms, including Bechtel and Kier, within days of each other)","Initial Access Vectors","hazard"
"initial access vectors::compromised vpn rdp credentials including access issued to jobsite trailers and temporary site networks with weaker controls than corporate hq","Compromised VPN/RDP credentials, including access issued to jobsite trailers and temporary site networks with weaker controls than corporate HQ","Initial Access Vectors","hazard"
"initial access vectors::infostealer harvested credentials from employee and third party devices ferrovials july 2026 ailock incident was linked to over 100 compromised employee and third party credential sets surfaced via infostealer telemetry","Infostealer-harvested credentials from employee and third-party devices (Ferrovial's July 2026 AiLock incident was linked to over 100 compromised employee and third-party credential sets surfaced via infostealer telemetry)","Initial Access Vectors","hazard"
"initial access vectors::compromised or over privileged subcontractor vendor remote access accounts on shared project extranets","Compromised or over-privileged subcontractor/vendor remote-access accounts on shared project extranets","Initial Access Vectors","hazard"
"extortion tactics::double extortion encryption plus exfiltration and leak site publication of stolen files the dominant model seen across qilin lockbit akira play dragonforce inc ransom incidents in the dataset","Double extortion: encryption plus exfiltration and leak-site publication of stolen files (the dominant model seen across Qilin, LockBit, Akira, Play, DragonForce, INC Ransom incidents in the dataset)","Extortion Tactics","hazard"
"extortion tactics::triple extortion regulatory and reputational threats ailock explicitly threatens to notify regulators and competitors and gives victims a 72 hour response window","Triple extortion / regulatory and reputational threats (AiLock explicitly threatens to notify regulators and competitors and gives victims a 72-hour response window)","Extortion Tactics","hazard"
"extortion tactics::pure data theft extortion without encryption everest has shifted toward this model used against turner construction","Pure data-theft extortion without encryption (Everest has shifted toward this model; used against Turner Construction)","Extortion Tactics","hazard"
"extortion tactics::threats to leak competitively sensitive bid pricing and design data to rival bidders or competitors ahead of tender awards","Threats to leak competitively sensitive bid, pricing and design data to rival bidders or competitors ahead of tender awards","Extortion Tactics","hazard"
"extortion tactics::mass name and shame campaigns where dozens of victims across many industries including construction are listed together after a single shared software exploit increasing pressure via public exposure even before individualized negotiation","Mass 'name-and-shame' campaigns where dozens of victims across many industries (including construction) are listed together after a single shared-software exploit, increasing pressure via public exposure even before individualized negotiation","Extortion Tactics","hazard"
"ot iot and jobsite facilities technology risk::building management automation systems bms bas for hvac elevators and life safety systems on projects under a firms ongoing facilities management or warranty service contracts","Building Management/Automation Systems (BMS/BAS) for HVAC, elevators and life-safety systems on projects under a firm's ongoing facilities-management or warranty-service contracts","OT, IoT and Jobsite/Facilities Technology Risk","hazard"
