id,name,description
"corporate it identity and edge systems","Corporate IT, Identity and Edge Systems","The internal backbone whose compromise enables lateral movement and encryption."
"customer employee and third party data","Customer, Employee and Third-Party Data","IT firms hold vast volumes of both their own and their customers' data as processors, magnifying breach-notification and liability exposure."
"distribution logistics and commerce systems","Distribution, Logistics and Commerce Systems","For IT distributors/resellers and platform providers, transactional systems are the business; their loss stops downstream commerce."
"downstream ecosystem and supply chain relationships","Downstream Ecosystem and Supply-Chain Relationships","The third parties whose exposure flows through the IT firm, creating aggregation risk."
"intellectual property and trade secrets","Intellectual property and trade secrets","Proprietary technical and strategic information distinct to scientific/technical consultancies."
"operational technology industrial control systems ot ics scada","Operational Technology / Industrial Control Systems (OT/ICS/SCADA)","Physical production infrastructure that, unlike pure IT, ties ransomware impact directly to safety and physical output — the defining exposure that differentiates manufacturing from most other insured industries."
"production and manufacturing execution systems","Production and Manufacturing Execution Systems","Software layers that plan, schedule, and track physical production — encryption or corruption here halts output even if OT hardware itself is untouched."
"supply chain and third party vendor networks","Supply Chain and Third-Party/Vendor Networks","Manufacturing's deep tiered-supplier interdependency means exposure extends well beyond the insured entity's own network perimeter."
"enterprise it and corporate data","Enterprise IT and Corporate Data","Conventional back-office systems that remain a primary initial-access and extortion target even in OT-heavy environments."
"physical plant and multi site infrastructure","Physical Plant and Multi-Site Infrastructure","Geographically distributed physical facilities whose network segmentation (or lack thereof) determines how far a single compromise can spread."
"client and case data","Client and case data","The core work-product and confidential records professional-services firms hold on behalf of clients."
"crm sales and saas platforms","CRM, sales, and SaaS platforms","Cloud-hosted customer/contact systems increasingly targeted directly rather than via on-prem encryption."
"erp back office and bpo processing systems","ERP, back-office, and BPO processing systems","Systems that process transactional and often highly regulated data on behalf of multiple end clients."
"real estate specific systems and data","Real estate-specific systems and data","Systems and data unique to commercial/residential real estate services firms."
"wholesale trade and logistics systems","Wholesale trade and logistics systems","Systems supporting the physical movement and distribution of goods."
"employee contractor and third party data","Employee, contractor, and third-party data","Personal data of the firm's own workforce and its extended network of subcontractors/partners."
"cloud msp infrastructure and credentials","Cloud/MSP infrastructure and credentials","The infrastructure and access pathways that, if compromised, enable one-to-many downstream compromise."
"citizen and employee data assets","Citizen & Employee Data Assets","The sensitive personal and administrative records that make government a high-value data-extortion target."
"core it and enterprise systems","Core IT & Enterprise Systems","The back-office and productivity systems whose encryption halts government operations."
"citizen facing service platforms","Citizen-Facing Service Platforms","The public service-delivery systems whose downtime directly harms residents."
"public safety and emergency systems","Public-Safety & Emergency Systems","Life-safety systems whose disruption elevates a data incident to a public-safety emergency."
"operational technology and municipal infrastructure","Operational Technology & Municipal Infrastructure","Physical-world control systems owned or overseen by government bodies."
"third party and shared service dependencies","Third-Party & Shared-Service Dependencies","External providers and shared platforms whose compromise exposes the agency (aggregation risk)."
"point of sale pos and payment systems","Point-of-Sale (POS) and Payment Systems","In-store POS terminals, payment gateways/processors, e-commerce checkout flows, and PCI-scoped cardholder data environments. Encryption or manipulation of these systems can halt in-store sales entirely; breach of stored/tokenized card data drives PCI-DSS liability."
"customer data and crm loyalty platforms","Customer Data and CRM/Loyalty Platforms","Centralized repositories of customer PII, purchase history, and loyalty-program data, increasingly hosted in third-party SaaS/CRM platforms (e.g., Salesforce) that have become a primary extortion target independent of on-prem encryption."
"supply chain inventory and store operations systems","Supply Chain, Inventory, and Store Operations Systems","ERP, warehouse management, automated ordering, and inventory/replenishment systems whose disruption forces retailers back to manual, paper-based operations - the single biggest driver of revenue loss in major incidents like M&S."
"third party franchise and vendor dealer networks","Third-Party, Franchise, and Vendor/Dealer Networks","Retail and consumer-services businesses depend heavily on shared platforms (DMS/SaaS providers), franchise networks, and outsourced IT help desks, creating single points of failure that can cascade an attack on one vendor into thousands of affected businesses."
"employee and hr data","Employee and HR Data","Large, often lower-wage, high-turnover workforces mean retailers and consumer-services firms hold extensive employee PII, frequently a secondary but highly damaging data-theft target."
"physical and building adjacent operational technology","Physical and Building-Adjacent Operational Technology","Consumer-services subsectors (grocery, hospitality, fitness, healthcare-adjacent services) operate physical/IoT systems whose disruption creates safety and spoilage risk beyond pure data loss."
"brand product and intellectual property data","Brand, Product, and Intellectual Property Data","Unreleased product designs, pricing strategy, and brand assets are targeted for extortion leverage distinct from customer-data theft, particularly in fashion/apparel and consumer product goods."
"core network and signaling systems","Core Network & Signaling Systems","The 'OT-equivalent' layer for telecom - subscriber and routing infrastructure whose compromise or outage disrupts service for large customer populations rather than just exposing records."
"subscriber and customer pii","Subscriber & Customer PII","The high-volume personal data telecom operators uniquely hold by virtue of serving as national-scale identity and communications intermediaries."
"enterprise backend it and saas platforms","Enterprise/Backend IT & SaaS Platforms","The corporate IT layer - often the actual initial-access and lateral-movement surface even when the attacker's goal is subscriber or infrastructure data."
"physical and field infrastructure","Physical & Field Infrastructure","Telecom's unusual exposure of physical assets and access controls alongside digital ones - a hazard largely absent in pure IT/software industries."
"third party partner and downstream data","Third-Party, Partner & Downstream Data","Data and access that telecom operators hold on behalf of, or shared with, other organizations - amplifying blast radius beyond the operator's own customers."
"regulatory lawful intercept and critical infrastructure systems","Regulatory, Lawful-Intercept & Critical-Infrastructure Systems","Government-facing and critical-infrastructure-designated systems that create outsized regulatory and national-security exposure when compromised."
"fleet freight and operational technology systems","Fleet, Freight & Operational Technology Systems","The operational core of transportation/warehousing firms — systems whose downtime directly halts the physical movement of goods, distinguishing this industry's ransomware exposure from purely data-centric sectors."
"customer shipment and financial data","Customer, Shipment & Financial Data","Sensitive business and transactional data whose exposure drives breach-notification duties and extortion leverage even when operations aren't disrupted."
"physical and critical infrastructure assets","Physical & Critical-Infrastructure Assets","Because transportation is designated critical infrastructure in most jurisdictions, exposure extends beyond data to physical assets and public safety/regulatory systems."
