id,name,description
"regulatory notification and litigation exposure","Regulatory, Notification and Litigation Exposure","Education carries a dense, overlapping and unusually child-focused compliance regime, so a single ransomware event generates parallel regulatory tracks. FERPA and COPPA apply federally in the US, layered with state student-privacy statutes and state breach laws; UK and EU institutions face UK GDPR/GDPR and ICO scrutiny; universities holding clinical or research-health data additionally trigger HIPAA. Notification is frequently slow - Minneapolis took seven months to notify 105,617 people, and the University of Hawai'i Cancer Center's delay in notifying study participants drew specific criticism - which compounds regulatory and class-action risk."
"operational disruption of instruction and institutional continuity","Operational Disruption of Instruction and Institutional Continuity","Unlike most commercial insureds, schools cannot fail over to a degraded manual mode: an encrypted district frequently closes entirely. Highline Public Schools shut all 34 schools for three days; the British Library's core services were disrupted for months. Comparitech measured an average of 10.7 days of downtime per education incident, peaking at 12.6 days in 2023. Lost instructional days carry statutory make-up obligations, transport and meal-programme knock-ons, and in higher education can delay terms, research grants and graduation."
"underfunded security posture and recovery capability","Underfunded Security Posture and Recovery Capability","The sector's loss severity is driven less by attacker sophistication than by chronic under-resourcing. Sophos found lack of expertise and limited incident-response capacity cited by 42% each in lower education, and 49% of higher education institutions citing unknown security gaps. Backup reliability has degraded: recovery from backups fell to 59% in lower education and 47% in higher education. Public institutions face procurement cycles, capital-budget constraints and elected-board approval that slow both hardening and response."
"ot vs it risk cyber physical","OT vs IT Risk (Cyber-Physical)","The defining hazard of this sector: the interface between enterprise IT and operational technology (ICS/SCADA/DCS) controlling physical energy flows. IT-only ransomware routinely forces OT shutdowns, and OT-capable malware threatens physical damage."
"regulatory legal and reputational exposure","Regulatory, Legal & Reputational Exposure","Energy is heavily regulated as critical infrastructure; incidents trigger mandatory reporting, sanctions-screening on ransom payment, and public/political scrutiny."
"systemic and market contagion risk","Systemic and Market-Contagion Risk","A hazard category distinct to this industry: ransomware against a single financial institution or vendor can cascade into broader market or payment-system disruption well beyond the immediate victim."
"operational business continuity risk","Operational/Business-Continuity Risk","How ransomware-driven downtime specifically manifests in financial and insurance operations, which are unusually time-sensitive and trust-dependent."
"ot medical device and clinical operations risk","OT / Medical-Device and Clinical-Operations Risk","Unlike most sectors, ransomware in healthcare directly threatens physical patient safety through disruption of connected medical equipment and clinical workflows, not just IT/data confidentiality."
"supply chain and downstream cascade risk","Supply-Chain and Downstream Cascade Risk","The signature hazard of the IT industry: because these firms are technology suppliers, a single compromise propagates to their entire customer base, creating catastrophic aggregation/accumulation risk for insurers."
"intellectual property and source code theft","Intellectual Property and Source Code Theft","IT firms hold uniquely high-value technical IP whose theft is itself the extortion leverage, independent of encryption."
"third party vendor and concentration risk","Third-Party, Vendor and Concentration Risk","Dependence on shared infrastructure and a dense web of subprocessors amplifies both the likelihood and blast radius of incidents."
"insider identity and privileged access risk","Insider, Identity and Privileged-Access Risk","IT staff hold the keys to both their own and customers' environments, making identity compromise and privileged-access abuse especially damaging."
"infrastructure and availability risk it data center","Infrastructure and Availability Risk (IT/Data-Center)","For the IT sector the critical 'operational technology' is the data center, network and cloud fabric; loss of availability is the primary business-interruption driver rather than physical production lines."
"ot vs it risk differentiation","OT vs. IT Risk Differentiation","Manufacturing's unique bifurcated risk profile — attacks can remain IT-contained (data theft) or cross into OT (halting physical production), with dramatically different loss profiles."
"supply chain and business interruption risk","Supply Chain and Business Interruption Risk","Because manufacturers sit inside just-in-time, tightly coupled supply chains, a single-site ransomware event can cascade into contingent business interruption for downstream customers and upstream suppliers well beyond the insured's own balance sheet."
"third party and vendor msp risk","Third-Party and Vendor/MSP Risk","Reliance on external integrators, MSPs, and cloud/SaaS platforms for both IT and OT management creates an attack surface outside the manufacturer's direct control."
"regulatory legal and notification exposure","Regulatory, Legal, and Notification Exposure","Post-incident compliance and liability obligations that shape the insurable loss beyond the ransom/recovery cost itself, particularly where employee, customer, or government-ID data is exposed."
"confidentiality privileged data risk","Confidentiality / privileged-data risk","Professional/technical services firms hold sensitive third-party information whose exposure carries outsized legal and reputational consequences."
"operational logistics disruption","Operational / logistics disruption","Hazards specific to wholesale trade and logistics operations where system downtime directly halts physical goods movement."
"insider and credential risk","Insider and credential risk","Distributed, high-turnover workforces common to staffing, real estate brokerage, and professional-services firms increase credential and insider exposure."
"service disruption availability risk mission critical public services","Service-Disruption / Availability Risk (mission-critical public services)","Government-specific operational hazards where downtime directly harms public safety and essential service delivery, not just revenue."
"ot critical infrastructure adjacency","OT / Critical-Infrastructure Adjacency","Where government IT connects to operational technology and public-safety infrastructure, expanding blast radius beyond data loss."
"third party supply chain and aggregation risk","Third-Party, Supply-Chain & Aggregation Risk","Systemic exposure unique to government's shared and outsourced service model, where one compromise cascades across many jurisdictions."
"regulatory legal and political exposure","Regulatory, Legal & Political Exposure","Post-incident obligations and accountability pressures distinctive to public bodies answerable to citizens and oversight bodies."
"threat actor landscape","Threat-Actor Landscape","The specific ransomware ecosystems and actor types repeatedly hitting government, blending crime and, at national level, state interests."
"operational and store network disruption","Operational and Store-Network Disruption","Because retail margins depend on continuous inventory flow and point-of-sale availability, ransomware's operational-availability impact (not just data loss) is often the largest cost driver in this industry."
"regulatory legal and disclosure exposure","Regulatory, Legal, and Disclosure Exposure","Consumer-facing businesses face a dense, overlapping set of breach-notification, payment-card, and consumer-protection obligations that amplify post-incident cost and litigation risk beyond the direct technical recovery."
"reputational and customer trust risk","Reputational and Customer-Trust Risk","Because purchase decisions in retail and consumer services are discretionary and brand-sensitive, publicized ransomware incidents translate directly into measurable revenue and market-value loss, distinct from the direct IR/ransom cost."
"core network availability disruption ot equivalent risk","Core Network / Availability Disruption ('OT-equivalent' risk)","Telecom's version of OT/ICS risk - attacks that threaten service availability at national or regional scale rather than just confidentiality."
"insider and credential based risk","Insider & Credential-Based Risk","Human-layer risk distinct from bulk phishing - individual employee/admin compromise with outsized consequences given telecom's centralized subscriber-identity role."
"ot vs it risk","OT vs IT Risk","Transportation/warehousing uniquely blends conventional IT (billing, CRM, EDI) with operational technology controlling physical movement of goods — an intrusion in either domain can halt the other."
"regulatory and financial exposure","Regulatory & Financial Exposure","Transportation's critical-infrastructure designation and highly interconnected, low-margin business model amplify the downstream consequences of an incident beyond the direct IT-remediation cost."
