from,from_label,to,to_label
"Educational Services::British Library","Incident","British Library","Company"
"Educational Services::University of Manchester","Incident","University of Manchester","Company"
"Educational Services::Minneapolis Public Schools (Special School District No. 1)","Incident","Minneapolis Public Schools (Special School District No. 1)","Company"
"Educational Services::Los Angeles Unified School District (LAUSD)","Incident","Los Angeles Unified School District (LAUSD)","Company"
"Energy and Utilities::Colonial Pipeline","Incident","Colonial Pipeline","Company"
"Energy and Utilities::Halliburton","Incident","Halliburton","Company"
"Energy and Utilities::Suncor Energy / Petro-Canada","Incident","Suncor Energy / Petro-Canada","Company"
"Energy and Utilities::Encevo Group (Creos & Enovos, Luxembourg)","Incident","Encevo Group (Creos & Enovos, Luxembourg)","Company"
"Energy and Utilities::Conpet","Incident","Conpet","Company"
"Energy and Utilities::Ecopetrol","Incident","Ecopetrol","Company"
"Energy and Utilities::Newpark Resources, Inc.","Incident","Newpark Resources, Inc.","Company"
"Finance and Insurance::CNA Financial Corporation","Incident","CNA Financial Corporation","Company"
"Finance and Insurance::Industrial and Commercial Bank of China (ICBC) - U.S. broker-dealer/financial services unit","Incident","Industrial and Commercial Bank of China (ICBC) - U.S. broker-dealer/financial services unit","Company"
"Finance and Insurance::Fidelity National Financial (FNF)","Incident","Fidelity National Financial (FNF)","Company"
"Finance and Insurance::ION Group / ION Cleared Derivatives","Incident","ION Group / ION Cleared Derivatives","Company"
"Finance and Insurance::Evolve Bank & Trust","Incident","Evolve Bank & Trust","Company"
"Finance and Insurance::Central Bank of Libya","Incident","Central Bank of Libya","Company"
"Finance and Insurance::Frost Bank and Citizens Financial Group (Citizens Bank) - shared third-party vendor breach","Incident","Frost Bank and Citizens Financial Group (Citizens Bank) - shared third-party vendor breach","Company"
"Finance and Insurance::Deutsche Bank (via third-party marketing/incentive platform vendor)","Incident","Deutsche Bank (via third-party marketing/incentive platform vendor)","Company"
"Finance and Insurance::SEI Investments Company","Incident","SEI Investments Company","Company"
"Finance and Insurance::River Financial Corporation","Incident","River Financial Corporation","Company"
"Finance and Insurance::Navient Corporation","Incident","Navient Corporation","Company"
"Finance and Insurance::Prudential Financial, Inc.","Incident","Prudential Financial, Inc.","Company"
"Finance and Insurance::Globe Life Inc.","Incident","Globe Life Inc.","Company"
"Healthcare and Social Assistance::Change Healthcare (subsidiary of UnitedHealth Group/Optum)","Incident","Change Healthcare (subsidiary of UnitedHealth Group/Optum)","Company"
"Healthcare and Social Assistance::Universal Health Services (UHS) — ~400 US hospitals/care sites","Incident","Universal Health Services (UHS) — ~400 US hospitals/care sites","Company"
"Healthcare and Social Assistance::Health Service Executive (HSE) — Ireland's national public health system","Incident","Health Service Executive (HSE) — Ireland's national public health system","Company"
"Healthcare and Social Assistance::CommonSpirit Health — ~140+ hospitals across ~13 US states","Incident","CommonSpirit Health — ~140+ hospitals across ~13 US states","Company"
"Healthcare and Social Assistance::Lehigh Valley Health Network (LVHN)","Incident","Lehigh Valley Health Network (LVHN)","Company"
"Healthcare and Social Assistance::Medibank Private (major Australian health insurer)","Incident","Medibank Private (major Australian health insurer)","Company"
"Healthcare and Social Assistance::Synnovis (pathology/blood-testing partner for NHS trusts in London)","Incident","Synnovis (pathology/blood-testing partner for NHS trusts in London)","Company"
"Healthcare and Social Assistance::Enzo Biochem, Inc.","Incident","Enzo Biochem, Inc.","Company"
"Healthcare and Social Assistance::Omnicell, Inc.","Incident","Omnicell, Inc.","Company"
"Healthcare and Social Assistance::Akumin Inc.","Incident","Akumin Inc.","Company"
"Healthcare and Social Assistance::DaVita Inc.","Incident","DaVita Inc.","Company"
"Healthcare and Social Assistance::TELA Bio, Inc.","Incident","TELA Bio, Inc.","Company"
"Healthcare and Social Assistance::Stryker","Incident","Stryker","Company"
"Healthcare and Social Assistance::Allied Healthcare Products, Inc.","Incident","Allied Healthcare Products, Inc.","Company"
"Healthcare and Social Assistance::Change Healthcare Solutions LLC","Incident","Change Healthcare Solutions LLC","Company"
"Information Technology::Kaseya (VSA platform)","Incident","Kaseya (VSA platform)","Company"
"Information Technology::Progress Software (MOVEit Transfer)","Incident","Progress Software (MOVEit Transfer)","Company"
"Information Technology::CDK Global","Incident","CDK Global","Company"
"Information Technology::Ingram Micro","Incident","Ingram Micro","Company"
"Information Technology::Quanta Computer (Apple supplier)","Incident","Quanta Computer (Apple supplier)","Company"
"Information Technology::Software AG","Incident","Software AG","Company"
"Information Technology::Tata Technologies","Incident","Tata Technologies","Company"
"Information Technology::QuickLogic Corporation","Incident","QuickLogic Corporation","Company"
"Information Technology::NCR Corporation","Incident","NCR Corporation","Company"
"Information Technology::DISH Network Corporation","Incident","DISH Network Corporation","Company"
"Information Technology::NCR Voyix Corporation","Incident","NCR Voyix Corporation","Company"
"Information Technology::AFG Companies, Inc.","Incident","AFG Companies, Inc.","Company"
"Information Technology::Rackspace Technology","Incident","Rackspace Technology","Company"
"Information Technology::Ingram Micro Holding Corporation","Incident","Ingram Micro Holding Corporation","Company"
"Information Technology::Data I/O Corporation","Incident","Data I/O Corporation","Company"
"Information Technology::Trio-Tech International","Incident","Trio-Tech International","Company"
"Information Technology::Brand Engagement Network Inc.","Incident","Brand Engagement Network Inc.","Company"
"Manufacturing::Norsk Hydro","Incident","Norsk Hydro","Company"
"Manufacturing::Honda Motor Co.","Incident","Honda Motor Co.","Company"
"Manufacturing::Foxconn (CTBG MX plant, Ciudad Juárez)","Incident","Foxconn (CTBG MX plant, Ciudad Juárez)","Company"
"Manufacturing::Volvo Car Corporation","Incident","Volvo Car Corporation","Company"
"Manufacturing::Bridgestone Americas","Incident","Bridgestone Americas","Company"
"Manufacturing::Continental AG","Incident","Continental AG","Company"
"Manufacturing::Yamaha Motor Philippines, Inc.","Incident","Yamaha Motor Philippines, Inc.","Company"
"Manufacturing::Nissan Australia (Nissan Oceania)","Incident","Nissan Australia (Nissan Oceania)","Company"
"Manufacturing::MKS Instruments, Inc.","Incident","MKS Instruments, Inc.","Company"
"Manufacturing::Gates Industrial Corporation plc","Incident","Gates Industrial Corporation plc","Company"
"Manufacturing::Tecogen Inc.","Incident","Tecogen Inc.","Company"
"Manufacturing::Ultralife Corporation","Incident","Ultralife Corporation","Company"
"Manufacturing::Hillman Solutions Corp.","Incident","Hillman Solutions Corp.","Company"
"Manufacturing::PGT Innovations, Inc.","Incident","PGT Innovations, Inc.","Company"
"Manufacturing::HanesBrands Inc.","Incident","HanesBrands Inc.","Company"
"Manufacturing::Sensata Technologies Holding plc","Incident","Sensata Technologies Holding plc","Company"
"Manufacturing::The Coca-Cola Company","Incident","The Coca-Cola Company","Company"
"Manufacturing::Mueller Water Products, Inc.","Incident","Mueller Water Products, Inc.","Company"
"Manufacturing::Johnson Controls International plc","Incident","Johnson Controls International plc","Company"
"Manufacturing::Hillman Group","Incident","Hillman Group","Company"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Cognizant Technology Solutions","Incident","Cognizant Technology Solutions","Company"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Accenture","Incident","Accenture","Company"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::CWT (Carlson Wagonlit Travel)","Incident","CWT (Carlson Wagonlit Travel)","Company"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Sopra Steria","Incident","Sopra Steria","Company"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Toll Group","Incident","Toll Group","Company"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Estes Express Lines","Incident","Estes Express Lines","Company"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Conduent Business Services, LLC","Incident","Conduent Business Services, LLC","Company"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Cushman & Wakefield","Incident","Cushman & Wakefield","Company"
"Public Administration (Government)::Government of Costa Rica (national ministries)","Incident","Government of Costa Rica (national ministries)","Company"
"Public Administration (Government)::City of Atlanta, Georgia","Incident","City of Atlanta, Georgia","Company"
"Public Administration (Government)::City of Baltimore, Maryland","Incident","City of Baltimore, Maryland","Company"
"Public Administration (Government)::City of Dallas, Texas","Incident","City of Dallas, Texas","Company"
"Public Administration (Government)::City of Columbus, Ohio","Incident","City of Columbus, Ohio","Company"
"Public Administration (Government)::The British Library","Incident","The British Library","Company"
"Public Administration (Government)::City of Saint Paul, Minnesota","Incident","City of Saint Paul, Minnesota","Company"
"Public Administration (Government)::State of Nevada","Incident","State of Nevada","Company"
"Retail Trade and Consumer Services::Marks & Spencer (M&S)","Incident","Marks & Spencer (M&S)","Company"
"Retail Trade and Consumer Services::Co-op Group","Incident","Co-op Group","Company"
"Retail Trade and Consumer Services::CDK Global (SaaS/DMS provider to ~15,000 US/Canada auto dealerships - third-party supply-chain incident affecting the retail auto sector broadly)","Incident","CDK Global (SaaS/DMS provider to ~15,000 US/Canada auto dealerships - third-party supply-chain incident affecting the retail auto sector broadly)","Company"
"Retail Trade and Consumer Services::MGM Resorts International","Incident","MGM Resorts International","Company"
"Retail Trade and Consumer Services::Caesars Entertainment","Incident","Caesars Entertainment","Company"
"Retail Trade and Consumer Services::Ralph Lauren Corporation","Incident","Ralph Lauren Corporation","Company"
"Retail Trade and Consumer Services::Madison Square Garden Sports Corp. (parent of the New York Knicks; consumer/entertainment services)","Incident","Madison Square Garden Sports Corp. (parent of the New York Knicks; consumer/entertainment services)","Company"
"Retail Trade and Consumer Services::Karl Chevrolet / Karl Auto Group","Incident","Karl Chevrolet / Karl Auto Group","Company"
"Retail Trade and Consumer Services::PChome (pchome.com.tw) / NetHome Group and subsidiary Bibian","Incident","PChome (pchome.com.tw) / NetHome Group and subsidiary Bibian","Company"
"Retail Trade and Consumer Services::Citi Trends, Inc.","Incident","Citi Trends, Inc.","Company"
"Telecommunications::Telecom Argentina S.A.","Incident","Telecom Argentina S.A.","Company"
"Telecommunications::Cincinnati Bell (now altafiber)","Incident","Cincinnati Bell (now altafiber)","Company"
"Telecommunications::Telecommunications Services of Trinidad and Tobago (TSTT)","Incident","Telecommunications Services of Trinidad and Tobago (TSTT)","Company"
"Telecommunications::WideOpenWest (WOW!)","Incident","WideOpenWest (WOW!)","Company"
"Telecommunications::SK Telecom","Incident","SK Telecom","Company"
"Telecommunications::Colt Technology Services","Incident","Colt Technology Services","Company"
"Telecommunications::Orange S.A. (Orange Group, incl. Orange Belgium subsidiary)","Incident","Orange S.A. (Orange Group, incl. Orange Belgium subsidiary)","Company"
"Telecommunications::American Tower Corporation","Incident","American Tower Corporation","Company"
"Telecommunications::Lumen Technologies, Inc.","Incident","Lumen Technologies, Inc.","Company"
"Transportation and Warehousing::A.P. Moller-Maersk","Incident","A.P. Moller-Maersk","Company"
"Transportation and Warehousing::Toll Group","Incident","Toll Group","Company"
"Transportation and Warehousing::Expeditors International of Washington","Incident","Expeditors International of Washington","Company"
"Transportation and Warehousing::Port of Nagoya (Nagoya Harbor Transportation Association / Nagoya United Terminal System)","Incident","Port of Nagoya (Nagoya Harbor Transportation Association / Nagoya United Terminal System)","Company"
"Transportation and Warehousing::KNP Logistics Group (Knights of Old)","Incident","KNP Logistics Group (Knights of Old)","Company"
"Transportation and Warehousing::Estes Express Lines","Incident","Estes Express Lines","Company"
"Transportation and Warehousing::ORBCOMM (FleetManager / BT-series ELD platform)","Incident","ORBCOMM (FleetManager / BT-series ELD platform)","Company"
"Transportation and Warehousing::JAS Worldwide","Incident","JAS Worldwide","Company"
"Transportation and Warehousing::RTX Corporation","Incident","RTX Corporation","Company"
