from,from_label,to,to_label
"Finance and Insurance","Industry","operational business continuity risk","Hazard"
"Finance and Insurance","Industry","insider and workforce risk","Hazard"
"Healthcare and Social Assistance","Industry","initial access vectors","Hazard"
"Healthcare and Social Assistance","Industry","extortion tactics","Hazard"
"Healthcare and Social Assistance","Industry","third party and supply chain risk","Hazard"
"Healthcare and Social Assistance","Industry","ot medical device and clinical operations risk","Hazard"
"Healthcare and Social Assistance","Industry","regulatory and legal exposure","Hazard"
"Healthcare and Social Assistance","Industry","insider and workforce risk","Hazard"
"Information Technology","Industry","initial access vectors","Hazard"
"Information Technology","Industry","extortion tactics","Hazard"
"Information Technology","Industry","supply chain and downstream cascade risk","Hazard"
"Information Technology","Industry","intellectual property and source code theft","Hazard"
"Information Technology","Industry","third party vendor and concentration risk","Hazard"
"Information Technology","Industry","regulatory and legal exposure","Hazard"
"Information Technology","Industry","insider identity and privileged access risk","Hazard"
"Information Technology","Industry","infrastructure and availability risk it data center","Hazard"
"Manufacturing","Industry","initial access vectors","Hazard"
"Manufacturing","Industry","extortion tactics","Hazard"
"Manufacturing","Industry","ot vs it risk differentiation","Hazard"
"Manufacturing","Industry","supply chain and business interruption risk","Hazard"
"Manufacturing","Industry","third party and vendor msp risk","Hazard"
"Manufacturing","Industry","insider and workforce risk","Hazard"
"Manufacturing","Industry","regulatory legal and notification exposure","Hazard"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","initial access vectors","Hazard"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","extortion tactics","Hazard"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","third party and supply chain risk","Hazard"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","confidentiality privileged data risk","Hazard"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","operational logistics disruption","Hazard"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","insider and credential risk","Hazard"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade","Industry","regulatory and legal exposure","Hazard"
"Public Administration (Government)","Industry","initial access vectors","Hazard"
"Public Administration (Government)","Industry","extortion tactics","Hazard"
"Public Administration (Government)","Industry","service disruption availability risk mission critical public services","Hazard"
"Public Administration (Government)","Industry","ot critical infrastructure adjacency","Hazard"
"Public Administration (Government)","Industry","third party supply chain and aggregation risk","Hazard"
"Public Administration (Government)","Industry","insider and workforce risk","Hazard"
"Public Administration (Government)","Industry","regulatory legal and political exposure","Hazard"
"Public Administration (Government)","Industry","threat actor landscape","Hazard"
"Retail Trade and Consumer Services","Industry","initial access vectors","Hazard"
"Retail Trade and Consumer Services","Industry","extortion tactics","Hazard"
"Retail Trade and Consumer Services","Industry","operational and store network disruption","Hazard"
"Retail Trade and Consumer Services","Industry","third party and supply chain risk","Hazard"
"Retail Trade and Consumer Services","Industry","insider and workforce risk","Hazard"
"Retail Trade and Consumer Services","Industry","regulatory legal and disclosure exposure","Hazard"
"Retail Trade and Consumer Services","Industry","reputational and customer trust risk","Hazard"
"Telecommunications","Industry","initial access vectors","Hazard"
"Telecommunications","Industry","extortion tactics","Hazard"
"Telecommunications","Industry","core network availability disruption ot equivalent risk","Hazard"
"Telecommunications","Industry","third party and supply chain risk","Hazard"
"Telecommunications","Industry","insider and credential based risk","Hazard"
"Telecommunications","Industry","regulatory and legal exposure","Hazard"
"Transportation and Warehousing","Industry","initial access vectors","Hazard"
"Transportation and Warehousing","Industry","extortion tactics","Hazard"
"Transportation and Warehousing","Industry","ot vs it risk","Hazard"
"Transportation and Warehousing","Industry","third party and supply chain risk","Hazard"
"Transportation and Warehousing","Industry","insider and workforce risk","Hazard"
"Transportation and Warehousing","Industry","regulatory and financial exposure","Hazard"
