id,metric,value,source,source_url,scope
"Agriculture, Forestry, Fishing and Food Production::top ransomware groups targeting food and agriculture 2025","Top ransomware groups targeting food & agriculture (2025)","Qilin (dominant), Akira, CL0P, Play and Lynx — together nearly 50% of recorded sector incidents","Food and Ag-ISAC 2025 Ransomware Landscape","https://www.foodandag-isac.org/post/navigating-the-2025-food-and-agriculture-sector-ransomware-landscape","industry"
"Agriculture, Forestry, Fishing and Food Production::ransomwarelive agriculture and food production sector victim postings cumulative 2019 2026","Ransomware.live 'Agriculture and Food Production' sector victim postings (cumulative, 2019–2026)","1,219 tracked victim records; top groups LockBit3 (106), Akira (89), Qilin (89), Play (56), LockBit2 (44), Cl0p (43); top country US (321), then Canada, Brazil, Italy, France, Germany, UK, Spain","ransomware.live API v2 (/v2/sectorvictims/Agriculture and Food Production), pulled 2026-07-19","https://api.ransomware.live/v2/sectorvictims/Agriculture%20and%20Food%20Production","industry"
"Agriculture, Forestry, Fishing and Food Production::average ransom payment all sectors 2024","Average ransom payment (all sectors, 2024)","$2.0 million average ransom paid (up from ~$400,000 in 2023); overall recovery cost excluding ransom rose to $2.73 million (up ~50%)","Sophos, The State of Ransomware 2024","https://www.sophos.com/en-us/press/press-releases/2024/04/ransomware-payments-increase-500-last-year-finds-sophos-state","industry"
"Agriculture, Forestry, Fishing and Food Production::organizations hit by ransomware in the prior year all sectors 2024","Organizations hit by ransomware in the prior year (all sectors, 2024)","59% of organizations reported being hit (down from 66% in the prior two years)","Sophos, The State of Ransomware 2024","https://www.sophos.com/en-us/blog/the-state-of-ransomware-2024","industry"
"Agriculture, Forestry, Fishing and Food Production::total cost of an average ransomware attack all in 2024","Total cost of an average ransomware attack (all-in, 2024)","~$5.13 million average total cost (ransom + recovery + indirect damage); average downtime ~24 days; ransom often only ~15% of total cost","Industry cost aggregations (PurpleSec / Acronis / Halcyon, 2024–2025)","https://purplesec.us/learn/average-cost-of-ransomware-attacks/","industry"
"Agriculture, Forestry, Fishing and Food Production::downtime sensitivity in food and beverage","Downtime sensitivity in food & beverage","More than one-third of food & beverage respondents said one hour of operational downtime would cost at least $1 million in revenue, driving high ransom-payment propensity","TXOne Networks, From Farm to Fallout / Food & Beverage cybersecurity analysis","https://txone.com/blog/from-farm-to-fallout-ransomwares-impact-on-the-food-chain","industry"
"Agriculture, Forestry, Fishing and Food Production::sector ranking among critical infrastructure 2025","Sector ranking among critical infrastructure (2025)","Food & agriculture is a mid-tier but fast-rising target; critical manufacturing led with 1,440 attacks (22.7%), then commercial facilities 1,107 (17.5%), IT 746 (11.8%), healthcare 580 (9.2%), financial services 463 (7.3%)","Food and Ag-ISAC 2025 Ransomware Report","https://industrialcyber.co/reports/food-and-ag-isac-reports-82-surge-in-ransomware-attacks-as-qilin-akira-and-cl0p-lead-campaigns-against-sector/","industry"
"Construction::total construction sector victims recorded all time through mid july 2026","Total Construction-sector victims recorded (all-time, through mid-July 2026)","1,362 victims","ransomware.live (data.ransomware.live/victims.json, filtered to activity=Construction; cross-checked against www.ransomware.live/activity/Construction which independently shows the same 1,362 total)","https://www.ransomware.live/activity/Construction","industry"
"Construction::construction sector victims by year 2021 2026 partial 2026","Construction-sector victims by year (2021-2026, partial 2026)","2021: 73 | 2022: 136 | 2023: 307 | 2024: 62 (likely data-completeness gap) | 2025: 513 | 2026 (through mid-July): 267","ransomware.live full victim dataset, filtered and aggregated","https://data.ransomware.live/","industry"
"Construction::most active ransomware groups targeting construction all time victim count","Most active ransomware groups targeting Construction (all-time victim count)","Akira 135, Qilin 131, LockBit3 88, Play 82, DragonForce 61, LockBit2 47, ALPHV/BlackCat 41, Sinobi 39, INC Ransom 39, SafePay 33, 8Base 31, Medusa 30, BianLian 28, Lynx 27, TheGentlemen 25, Clop 23, BlackBasta 21, Cactus 20, LockBit5 20, Conti 18","ransomware.live full victim dataset, filtered and aggregated","https://data.ransomware.live/","industry"
"Construction::top countries for construction sector victims","Top countries for Construction-sector victims","US 509, GB 73, CA 49, DE 31, AU 28, FR 28, IT 20, CH 16, SG 15, AT 12, ES 11, BR 10, MY 10, SA 9 (383 records had no country coded)","ransomware.live full victim dataset, filtered and aggregated","https://data.ransomware.live/","industry"
"Construction::percentage of ransomware victims all industries who paid the ransom 2025","Percentage of ransomware victims (all industries) who paid the ransom, 2025","49% paid (down from 56% in 2024)","Sophos, The State of Ransomware 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-2025","industry"
"Construction::average recovery cost excluding ransom payment 2025 all industries","Average recovery cost excluding ransom payment, 2025 (all industries)","$1.53 million (down 44% from $2.73 million in 2024)","Sophos, The State of Ransomware 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-2025","industry"
"Construction::ransom demand payment size distribution 2025","Ransom demand/payment size distribution, 2025","57% of ransom demands and 52% of actual payments were $1 million or more; organizations that paid disbursed ~85% of the initial demand on average","Sophos, The State of Ransomware 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-2025","industry"
"Construction::recovery speed 2025","Recovery speed, 2025","53% of victim organizations fully recovered within one week (up from 35% in 2024)","Sophos, The State of Ransomware 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-2025","industry"
"Construction::data theft plus encryption rate construction property energy sectors vs manufacturing","Data-theft-plus-encryption rate, construction/property/energy sectors vs. manufacturing","Only ~15% of construction/property/energy organizations faced combined data theft and encryption, versus 39% for manufacturers","Sophos, cited via industry press coverage of Sophos ransomware research (construction/property/energy breakout)","https://www.sophos.com/en-us/blog/the-state-of-ransomware-2025","industry"
"Construction::ransomware victims who paid q4 2024 all industries","Ransomware victims who paid, Q4 2024 (all industries)","25% paid (a historic low at time of report)","Coveware Quarterly Ransomware Report, Q4 2024","https://www.coveware.com/ransomware-quarterly-reports","industry"
"Construction::average and median ransom payment q4 2024 all industries","Average and median ransom payment, Q4 2024 (all industries)","Average payment $553,959 (+16% QoQ); median payment $110,890 (-45% QoQ)","Coveware Quarterly Ransomware Report, Q4 2024","https://www.coveware.com/ransomware-quarterly-reports","industry"
"Construction::total on chain ransomware payments 2025 all industries global","Total on-chain ransomware payments, 2025 (all industries, global)","More than $820 million (down ~8% YoY from $892 million in 2024), though claimed attacks rose 50% YoY and the median ransom payment grew 368% YoY to nearly $60,000","Chainalysis 2026 Crypto Crime Report (covering 2025 data)","https://www.chainalysis.com/blog/crypto-ransomware-2026/","industry"
"Construction::global average total cost of a data breach 2025 all industries","Global average total cost of a data breach, 2025 (all industries)","$4.44 million","IBM Cost of a Data Breach Report 2025 (via databreachcost.com aggregation; construction is not broken out as a separate sector in IBM's 17-industry taxonomy - closest proxy 'Industrial' sector averaged $5 million)","https://databreachcost.com/by-industry","industry"
"Construction::ransomware involvement in breaches overall 2025","Ransomware involvement in breaches overall, 2025","Ransomware present in 44% of all reviewed breaches (up from 32% the prior year); 39% of large-enterprise breaches vs. 88% of SMB breach cases involved ransomware (not construction-specific)","Verizon 2025 Data Breach Investigations Report","https://www.verizon.com/business/resources/reports/2025-dbir-executive-summary.pdf","industry"
"Educational Services::median ransom paid lower education k 12","Median ransom PAID - lower education (K-12)","$800,000 in 2025, down 88% from $6.60M in 2024","Sophos, The State of Ransomware in Education 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-education-2025","industry"
"Educational Services::median ransom paid higher education","Median ransom PAID - higher education","$463,000 in 2025, down from $4.41M in 2024","Sophos, The State of Ransomware in Education 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-education-2025","industry"
"Educational Services::median ransom demanded lower vs higher education","Median ransom DEMANDED - lower vs higher education","Lower education $1.02M (down from $3.85M); higher education $697,000 (down from $3.55M)","Sophos, The State of Ransomware in Education 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-education-2025","industry"
"Educational Services::mean recovery cost excluding ransom lower vs higher education","Mean recovery cost excluding ransom - lower vs higher education","Lower education $2.20M (down from $3.76M); higher education $0.90M (down from $4.02M) - higher education was the joint lowest of all industries surveyed","Sophos, The State of Ransomware in Education 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-education-2025","industry"
"Educational Services::rate of data encryption in attacks","Rate of data encryption in attacks","Lower education 29% encrypted (67% stopped before encryption, up from 14%); higher education 58% encrypted (38% stopped before encryption, up from 21%)","Sophos, The State of Ransomware in Education 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-education-2025","industry"
"Educational Services::leading root cause of attack","Leading root cause of attack","Higher education: exploited vulnerabilities, 35% of cases. Lower education: phishing, 22% of cases","Sophos, The State of Ransomware in Education 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-education-2025","industry"
"Educational Services::recovery from backups declining reliability","Recovery from backups (declining reliability)","59% of encrypted-data cases in lower education (down from 75%); 47% in higher education (down from 78%). 97% of education providers with encrypted data eventually recovered it","Sophos, The State of Ransomware in Education 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-education-2025","industry"
"Educational Services::speed of full recovery","Speed of full recovery","50% of lower education and 59% of higher education fully recovered within one week, up from 30% for both in 2024","Sophos / Infosecurity Magazine coverage of State of Ransomware in Education 2025","https://www.infosecurity-magazine.com/news/ransomware-payments-plummet/","industry"
"Educational Services::extortion only attacks exfiltration without encryption","Extortion-only attacks (exfiltration without encryption)","Lower education 4% (up from 1%); higher education 3% (up from 2%)","Sophos, The State of Ransomware in Education 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-education-2025","industry"
"Educational Services::organisational weaknesses cited","Organisational weaknesses cited","Lower education: lack of expertise and limited incident-response capacity, 42% each. Higher education: unknown security gaps, 49% - the most commonly cited issue","Sophos, The State of Ransomware in Education 2025","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-education-2025","industry"
"Educational Services::global education ransomware attack volume 2025","Global education ransomware attack volume (2025)","251 attacks worldwide (94 confirmed by the victim, 157 unconfirmed); 130 in the US of which 50 confirmed; a 2% year-over-year increase, indicating a plateau after 2024","Comparitech, Education Ransomware Roundup 2025","https://www.comparitech.com/news/education-ransomware-roundup-2025-stats-on-attacks-ransoms-and-data-breaches/","industry"
"Educational Services::records breached in confirmed education attacks 2025","Records breached in confirmed education attacks (2025)","3,962,869 records, of which 3.89 million were in the US; over 241TB of data allegedly stolen across all attacks","Comparitech, Education Ransomware Roundup 2025","https://www.comparitech.com/news/education-ransomware-roundup-2025-stats-on-attacks-ransoms-and-data-breaches/","industry"
"Educational Services::average ransom demand in education 2025","Average ransom demand in education (2025)","$464,000 across all attacks (down 33% from $694,000 in 2024); $392,300 across confirmed attacks only; largest single demand $1.5M (Asia University, Taiwan)","Comparitech, Education Ransomware Roundup 2025","https://www.comparitech.com/news/education-ransomware-roundup-2025-stats-on-attacks-ransoms-and-data-breaches/","industry"
"Educational Services::most active groups claiming education victims 2025","Most active groups claiming education victims (2025)","Qilin 37 claimed attacks, SafePay 23, Fog and Interlock 18 each, INC Ransom 17; Interlock took credit for the most confirmed attacks (11)","Comparitech, Education Ransomware Roundup 2025","https://www.comparitech.com/news/education-ransomware-roundup-2025-stats-on-attacks-ransoms-and-data-breaches/","industry"
"Educational Services::average downtime per education ransomware incident","Average downtime per education ransomware incident","10.7 days of system unavailability per attack, with 2023 the worst year at 12.6 days average; estimated cost of approximately $548,185 per day of downtime","Comparitech, Ransomware attacks on US schools and colleges (2018 to mid-2024)","https://www.comparitech.com/blog/information-security/school-ransomware-attacks/","industry"
"Educational Services::ransom demand distribution and payment gap us schools colleges","Ransom demand distribution and payment gap (US schools/colleges)","Demands ranged from $5,000 to $40M with an average of approximately $1.4M, while actual payments averaged approximately $169,000; 491 incidents affecting 8,054 institutions and over 6.7 million records over the study period","Comparitech, Ransomware attacks on US schools and colleges (2018 to mid-2024)","https://www.comparitech.com/blog/information-security/school-ransomware-attacks/","industry"
"Educational Services::average total cost of a data breach education sector","Average total cost of a data breach - education sector","$3.8M, below the $4.44M global all-industry average; education was one of the few sectors where breach costs ROSE year over year against a global decline","IBM, Cost of a Data Breach Report 2025","https://www.ibm.com/reports/data-breach","industry"
"Educational Services::ransomware presence in breaches all sectors for benchmarking","Ransomware presence in breaches (all sectors, for benchmarking)","48% of analysed breaches in the 2026 DBIR, up from 44% in the 2025 edition (which was itself a 37% year-over-year rise)","Verizon, 2026 Data Breach Investigations Report","https://www.verizon.com/business/resources/reports/dbir/","industry"
"Educational Services::top breach patterns in the educational services chapter","Top breach patterns in the Educational Services chapter","Social engineering 42% and system intrusion 35% as leading patterns; stolen credentials were the top initial access vector across all sectors at 22% of breaches, with phishing starting 16%","Verizon, Data Breach Investigations Report (Educational Services chapter)","https://www.verizon.com/business/resources/reports/2025-dbir-data-breach-investigations-report.pdf","industry"
"Educational Services::third party and supply chain involvement in breaches","Third-party and supply-chain involvement in breaches","Third parties featured in 48% of breaches in the 2026 DBIR with supply-chain breaches up 60%; the 2025 edition had already recorded third-party involvement doubling to 30% from 15%","Verizon, 2026 Data Breach Investigations Report / Campus Technology analysis","https://campustechnology.com/articles/2026/01/22/ransomware-attacks-plateau-in-education-sector-while-third-party-risks-loom-large.aspx","industry"
"Educational Services::ransom payment rate all sectors for benchmarking","Ransom payment rate (all sectors, for benchmarking)","Fell to approximately 20% in Q4 2025 - a historic low - from 23% in Q3 2025","Coveware by Veeam, quarterly ransomware reports 2025","https://www.coveware.com/ransomware-quarterly-reports","industry"
"Educational Services::average and median ransom payment all sectors for benchmarking","Average and median ransom payment (all sectors, for benchmarking)","Q4 2025 average $591,988 and median $325,000; Q2 2025 peaked at an average of $1,130,070 with a $400,000 median before falling sharply in Q3","Coveware by Veeam, quarterly ransomware reports 2025","https://www.coveware.com/ransomware-quarterly-reports","industry"
"Educational Services::leak site victim count education sector primary dataset","Leak-site victim count, Education sector (primary dataset)","1,296 named victims from 2016 to 20 July 2026 across 135 distinct groups and 78 countries; peak years 2023 (307) and 2025 (328), with 158 recorded in the first ~7 months of 2026","ransomware.live API v2, /v2/sectorvictims/Education","https://api.ransomware.live/v2/sectorvictims/Education","industry"
"Educational Services::geographic concentration of education leak site victims","Geographic concentration of education leak-site victims","US 519 of 947 records with a resolved country (54.8%); GB 66, FR 31, CA 30, BR 28, IN 23, DE 22, AU 21, IT 16. By region: Europe approximately 191, APAC 96, Latin America and Caribbean 59","ransomware.live API v2, /v2/sectorvictims/Education (own analysis)","https://api.ransomware.live/v2/sectorvictims/Education","industry"
"Educational Services::disclosure completeness in education leak site records","Disclosure completeness in education leak-site records","Press coverage on only 170 of 1,296 records (13%); an explicit ransom figure on 12 (0.9%); a data volume on 21 (1.6%); country absent on 349 (27%) - severely limiting incident-level loss modelling","ransomware.live API v2, /v2/sectorvictims/Education (own analysis)","https://api.ransomware.live/v2/sectorvictims/Education","industry"
"Educational Services::independent corroboration of group ranking ransomwatch","Independent corroboration of group ranking (ransomwatch)","507 education-matching posts of 16,072 total: 2021 (57), 2022 (105), 2023 (193), 2024 (112), 2025 (40, partial). Top groups lockbit3 58, vicesociety 50, pysa 39, rhysida 39, FOG 27 - consistent with ransomware.live. Dataset stale after 16 June 2025","ransomwatch (joshhighet), posts.json","https://raw.githubusercontent.com/joshhighet/ransomwatch/main/posts.json","industry"
"Energy and Utilities::mean cost to recover from a ransomware attack energy oil gas and utilities","Mean cost to recover from a ransomware attack — energy, oil/gas & utilities","$3.12M in 2024 (vs $3.17M in 2023)","Sophos, The State of Ransomware in Critical Infrastructure 2024","https://www.sophos.com/en-us/press/press-releases/2024/07/median-recovery-costs-2-critical-infrastructure-sectors-energy-and","industry"
"Energy and Utilities::median ransom payment energy oil gas utilities","Median ransom payment — energy/oil-gas/utilities","$2.5M (2024); of those paying, 48% paid the original demand, 27% paid more, 26% paid less","Sophos, The State of Ransomware in Critical Infrastructure 2024","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-critical-infrastructure-2024","industry"
"Energy and Utilities::ransom payment propensity vs backup restoration energy sector","Ransom-payment propensity vs backup restoration — energy sector","61% paid the ransom to recover data; only 51% restored from backups — the lowest backup-use rate of any sector","Sophos, The State of Ransomware in Critical Infrastructure 2024","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-critical-infrastructure-2024","industry"
"Energy and Utilities::share of computers impacted per attack energy oil gas utilities","Share of computers impacted per attack — energy/oil-gas/utilities","62% of machines affected on average, vs 49% cross-sector average","Sophos, The State of Ransomware in Critical Infrastructure 2024","https://www.sophos.com/en-us/blog/the-state-of-ransomware-in-critical-infrastructure-2024","industry"
"Energy and Utilities::average total cost of a data breach energy sector","Average total cost of a data breach — energy sector","$4.83M (2024)","IBM Cost of a Data Breach Report 2024","https://www.ibm.com/reports/data-breach","industry"
"Energy and Utilities::most common initial attack vector all sectors relevant to energy","Most common initial attack vector (all sectors, relevant to energy)","Stolen/compromised credentials — 16% of breaches; longest to identify & contain (~10 months)","IBM Cost of a Data Breach Report 2024","https://newsroom.ibm.com/2024-07-30-ibm-report-escalating-data-breach-disruption-pushes-costs-to-new-highs","industry"
"Energy and Utilities::ransomware attacks on industrial ot organizations incl energy","Ransomware attacks on industrial/OT organizations (incl. energy)","1,693 attacks in 2024 (+87% YoY); groups targeting industrials rose to 80 (+60%). In 2025, 119 groups impacting ~3,300 organizations.","Dragos 8th Annual OT Cybersecurity Year in Review (2024/2025)","https://www.dragos.com/resources/press-release/dragos-reports-ot-ics-cyber-threats-escalate-amid-geopolitical-conflicts-and-increasing-ransomware-attacks","industry"
"Energy and Utilities::ot operational impact of ransomware industrial sectors incl energy","OT operational impact of ransomware (industrial sectors incl. energy)","25% of observed OT ransomware cases involved a full OT-site shutdown; 75% caused some operational disruption","Dragos OT Cybersecurity Year in Review","https://www.dragos.com/blog/dragos-8th-annual-ot-cybersecurity-year-in-review-is-now-available","industry"
"Energy and Utilities::confirmed ransomware attacks on global energy and utilities sector 2025","Confirmed ransomware attacks on global energy & utilities sector (2025)","187 confirmed successful attacks in 2025 (per industry reporting aggregated in search); Cyfirma noted 72 victims, +64% over prior period","Industry reporting (BlackFog / Cyfirma via Industrial Cyber), 2025","https://industrialcyber.co/utilities-energy-power-water-waste/energy-and-utilities-cyber-threats-escalate-as-ransomware-and-apt-activity-rise-cyfirma-reports/","industry"
"Finance and Insurance::median ransom demand financial services sector 2025","Median ransom demand, financial services sector (2025)","$3,000,000 (highest of any industry surveyed)","Sophos, The State of Ransomware in Financial Services 2025","https://www.sophos.com/en-us/resources/white-papers/state-of-ransomware-in-financial-services","industry"
"Finance and Insurance::median ransom payment financial services sector 2025","Median ransom payment, financial services sector (2025)","$2,100,000","Sophos, The State of Ransomware in Financial Services 2025","https://www.sophos.com/en-us/resources/white-papers/state-of-ransomware-in-financial-services","industry"
"Finance and Insurance::average cost to fully recover from a ransomware attack financial services 2025","Average cost to fully recover from a ransomware attack, financial services (2025)","$1.74 million (down from $2.58 million in 2024)","Sophos, The State of Ransomware in Financial Services 2025","https://www.sophos.com/en-us/resources/white-papers/state-of-ransomware-in-financial-services","industry"
"Finance and Insurance::root cause cited as security gaps lack of adequate protection financial services respondents 2025","Root cause cited as 'security gaps / lack of adequate protection', financial services respondents (2025)","66-67%","Sophos, The State of Ransomware in Financial Services 2025","https://www.sophos.com/en-us/resources/white-papers/state-of-ransomware-in-financial-services","industry"
"Finance and Insurance::average total cost of a data breach financial services sector 2025","Average total cost of a data breach, financial services sector (2025)","$5.56 million (2nd highest of 17 industries, behind healthcare; 25% above global average; down from $6.08M in 2024)","IBM Cost of a Data Breach Report 2025","https://www.ibm.com/reports/data-breach","industry"
"Finance and Insurance::global average cost of a data breach all industries 2025","Global average cost of a data breach, all industries (2025)","$4.44 million (US companies averaged $10.22 million)","IBM Cost of a Data Breach Report 2025","https://www.ibm.com/reports/data-breach","industry"
"Finance and Insurance::breach lifecycle detection and escalation share of cost financial services vs global","Breach lifecycle detection & escalation share of cost, financial services vs. global","~34% in financial services vs. ~29% global average, driven by compressed regulator-notification timelines","IBM Cost of a Data Breach Report 2025","https://www.ibm.com/reports/data-breach","industry"
"Finance and Insurance::highest median ransom payment by sector full year 2025","Highest median ransom payment by sector, full-year 2025","Financial services sector had the highest median ransom payments among sectors tracked, at $2.0 million","Coveware Quarterly Ransomware Reports (2025 series)","https://www.coveware.com/ransomware-quarterly-reports","industry"
"Finance and Insurance::overall ransom payment rate all sectors q4 2025","Overall ransom payment rate (all sectors), Q4 2025","~20% (a historic low)","Coveware Quarterly Ransomware Report, Q4 2025","https://www.coveware.com/blog/2025/10/24/insider-threats-loom-while-ransom-payment-rates-plummet","industry"
"Finance and Insurance::average median ransom payment all sectors q4 2025","Average / median ransom payment (all sectors), Q4 2025","Average $591,988 (up 57% QoQ); median $325,000 (up 132% QoQ)","Coveware Quarterly Ransomware Report, Q4 2025","https://www.coveware.com/blog/2025/10/24/insider-threats-loom-while-ransom-payment-rates-plummet","industry"
"Finance and Insurance::confirmed breaches involving ransomware all industries 2024 data","Confirmed breaches involving ransomware, all industries (2024 data)","44% of confirmed breaches involved ransomware, up from 32% the year before","Verizon 2025 Data Breach Investigations Report (DBIR)","https://www.verizon.com/business/resources/reports/2025-dbir-data-breach-investigations-report.pdf","industry"
"Finance and Insurance::financial and insurance sector incidents breaches veris industry classification 2024 data","Financial and Insurance sector incidents/breaches (VERIS industry classification, 2024 data)","3,336 incidents and 927 confirmed breaches","Verizon 2025 DBIR, Finance Snapshot","https://www.verizon.com/business/resources/infographics/2025-dbir-finance-snapshot.pdf","industry"
"Finance and Insurance::median ransom payment all industries 2024 data","Median ransom payment, all industries (2024 data)","$115,000, down from $150,000 in 2023","Verizon 2025 Data Breach Investigations Report (DBIR)","https://www.verizon.com/business/resources/reports/2025-dbir-data-breach-investigations-report.pdf","industry"
"Finance and Insurance::organizations refusing to pay ransom all industries 2024","Organizations refusing to pay ransom, all industries (2024)","64%, up from 50% in 2022","Verizon 2025 Data Breach Investigations Report (DBIR)","https://www.verizon.com/business/resources/reports/2025-dbir-data-breach-investigations-report.pdf","industry"
