id,victim,date,country,financial_impact,ransom,downtime,data_impact,summary,source_count
"Agriculture, Forestry, Fishing and Food Production::Dole plc (Dole Food Company)","Dole plc (Dole Food Company)","2023-02-01","United States / Chile","Total incident impact of $10.5 million for the quarter ended March 31, 2023 (of which $4.8 million related to continuing operations); CEO warned the financial impact would not be fully recoverable through insurance.","Not publicly disclosed.","North American operations briefly shut down; most disruptive to Fresh Vegetables and Chilean businesses. All impacted servers and end-user computers were subsequently restored or rebuilt with third-party IR support.","Dole later disclosed the attack breached data of almost 3,900 US workers.","One of the world's largest fresh-produce suppliers suffered a February 2023 ransomware attack that hit about half of Legacy Dole's servers and a quarter of end-user computers, briefly shutting North American operations and causing widely reported packaged-salad shortages on US store shelves.","4"
"Agriculture, Forestry, Fishing and Food Production::Ahold Delhaize USA (Giant Food, Hannaford, Food Lion, Stop & Shop, The Giant Company)","Ahold Delhaize USA (Giant Food, Hannaford, Food Lion, Stop & Shop, The Giant Company)","2024-11-06","Netherlands / United States","Not separately quantified in dollar terms publicly; costs include breach response and two years of free credit monitoring/identity protection for 2.24M affected individuals.","No ransom reported paid — attackers published ~800GB of data on their leak site, indicating non-payment.","Network issues across US pharmacies and supermarkets in November 2024; systems restored over following weeks.","Breach affected 2,242,521 people; leaked data included names, postal/email addresses, phone numbers, dates of birth and government IDs (SSNs, driver's licenses, passports).","The US division of the multinational grocery/food retailer detected unauthorized access on Nov 6, 2024, disrupting pharmacies and supermarket network systems. INC Ransom claimed the attack in April 2025, asserting up to 6TB of stolen data; the incident became one of the largest food-retail data breaches on record.","3"
"Agriculture, Forestry, Fishing and Food Production::NEW Cooperative Inc.","NEW Cooperative Inc.","2021-09-20","United States","Not publicly disclosed; the co-op proactively took systems offline to contain impact rather than pay.","BlackMatter demanded $5.9 million, escalating to $11.8 million if unpaid within five days. Reporting indicated the co-op did not pay.","Systems taken offline proactively to contain the threat; operations managed via workarounds while remediation proceeded with law enforcement and security experts.","BlackMatter claimed theft of financial information, HR data, R&D information and source code for the 'SoilMap' agricultural technology platform.","An Iowa farm cooperative providing feed, grain and crop-protection services was hit by BlackMatter, which locked systems used to manage food supply chains and animal-feeding schedules. The co-op said ~40% of US grain production runs through its software and warned the attack could 'break the supply chain very shortly,' making it a landmark food-security incident.","3"
"Agriculture, Forestry, Fishing and Food Production::KP Snacks","KP Snacks","2022-01-28","United Kingdom","Not publicly disclosed; disruption to order processing and distribution for roughly two months with supply-chain knock-on to retailers.","Conti operated double-extortion with a leak-site countdown; ransom amount and any payment not publicly confirmed.","Order placement and delivery disrupted from late January with no normal service expected until at least end of March 2022.","Conti published samples including credit-card statements, birth certificates, and spreadsheets with employee addresses and phone numbers on its leak site.","The UK snack maker (Hula Hoops, McCoy's, KP Nuts, Tyrrells, Butterkist) discovered a Conti ransomware attack on Jan 28, 2022 that disrupted IT systems so severely it could not safely process orders or dispatch goods, prompting warnings of crisp and snack shortages through at least March.","3"
"Agriculture, Forestry, Fishing and Food Production::Maple Leaf Foods","Maple Leaf Foods","2022-11-06","Canada","Company acknowledged the outage would cause operational and financial impact and expected full resolution to take time; specific loss figure not itemized publicly.","Not publicly disclosed; Maple Leaf publicly indicated it would not accede to criminal demands.","System outage began early November 2022 with recovery efforts extending over subsequent weeks while the company used workarounds to maintain supply.","Not detailed publicly at scale; primarily an operational-disruption event.","One of Canada's largest packaged-meats and food producers suffered a November 2022 outage attributed to Black Basta ransomware, causing a system disruption that affected operations and order fulfillment across its network; recorded in the ransomware.live sector dataset as a Black Basta victim.","2"
"Construction::Ferrovial","Ferrovial","Claimed July 15, 2026","Spain (global infrastructure operator, Nasdaq/Euronext-listed)","Not publicly disclosed; no company financial statement or disclosed cost found.","Not publicly disclosed.","Not publicly disclosed.","Per HudsonRock infostealer telemetry referenced on the incident's ransomware.live page: 147 compromised employee accounts, 16 compromised user accounts, 106 third-party employee credentials, and 27 external attack-surface exposures identified. Underlying stolen data types/volume from the ransomware group's own leak were not detailed in available sources as of this writing (incident is very recent/","AiLock, a double-extortion RaaS group active since March 2025, claimed Ferrovial - a global infrastructure and mobility operator involved in construction and design plus toll-road concessions - on its leak site. AiLock's model gives victims a 72-hour response window and up to five days to pay, threatening regulator notification and competitor disclosure if unpaid.","3"
"Construction::Balfour Beatty","Balfour Beatty","October 12, 2025 and April 8, 2026 (two separate claimed incidents)","United Kingdom (international infrastructure group, LSE-listed)","Not publicly disclosed for either incident.","Not publicly disclosed for either incident.","Not publicly disclosed for either incident.","Leak size described as 'unknown' in available secondary reporting for both incidents; no confirmed data-type breakdown found in public sources.","Balfour Beatty, a leading UK-headquartered international infrastructure group delivering construction, engineering and support services across transportation, power, buildings and civil works in the UK, US and other markets, was claimed by two different ransomware groups within a six-month span: INC Ransom in October 2025 (targeting US operations) and CoinbaseCartel in April 2026 (UK).","4"
"Construction::Bechtel Corporation","Bechtel Corporation","Claimed November 20-21, 2025","United States (privately held, one of the world's largest engineering/construction/project-management firms, major US government contractor)","Not publicly disclosed by Bechtel; no company statement located.","Not publicly disclosed.","Not publicly disclosed.","Specific data types/volume exfiltrated from Bechtel were not detailed in available sources; the broader Oracle EBS campaign is understood to have exposed enterprise financial, HR and procurement data (the standard EBS module set) at affected organizations generally.","Bechtel was named by the Clop ransomware group as part of a large-scale extortion wave exploiting a zero-day vulnerability (CVE-2025-61882) in Oracle E-Business Suite. Clop posted roughly 39 victim organizations across many industries within a 24-hour window in this campaign; Clop had earlier exfiltrated data via the Oracle EBS flaw in August 2025 and followed up with mass extortion emails in late September 2025 before publishing leak-site listings in November.","3"
"Construction::Kier Group plc (KIER.CO.UK)","Kier Group plc (KIER.CO.UK)","Discovered/claimed November 6-7, 2025","United Kingdom (major listed construction, property and infrastructure services company, LSE:KIE)","Not publicly disclosed.","Not publicly disclosed; Clop threatened to release data absent negotiation.","Not publicly disclosed.","Per secondary reporting citing infostealer-derived telemetry on the incident record: 4 employees, 120 users, and 23 third-party employee credentials referenced as compromised/exposed; specific stolen-file categories from the Clop leak itself were not detailed in available sources.","Kier Group, a leading UK construction, civil-engineering, property and infrastructure services company operating across defence, transportation, health, education and utilities, was claimed by Clop as part of the same Oracle E-Business Suite CVE-2025-61882 mass-exploitation campaign that hit Bechtel days later.","3"
"Construction::Kajima Europe","Kajima Europe","Claimed November 22, 2025","United Kingdom / continental Europe operations of Kajima Corporation (Japan, one of the world's largest construction firms)","Not publicly disclosed.","Not publicly disclosed.","Not publicly disclosed/documented in available sources.","Approximately 400 GB of data reported exfiltrated, including engineering documents, CAD designs and blueprints, financial and investment records, construction contracts and procurement documentation, internal communications, subcontractor lists and payment schedules, employee HR files/credentials, and project-management files.","Qilin, one of the most prolific ransomware groups globally in 2025 (claiming roughly 800 victims across 50+ countries since January 2025, and dominant in Europe with 65 Q3-2025 victims per Cyble), claimed Kajima Europe, the European arm of major Japanese construction group Kajima Corporation, exfiltrating a large volume of corporate and project data.","3"
"Construction::AECOM","AECOM","Discovered November 8-9, 2021","United States (Fortune 500 global engineering, design and infrastructure-consulting firm)","Specific incident-response, remediation or credit-monitoring costs were not publicly disclosed; no stock-impact or insurance-payout figures found in public sources.","Not publicly disclosed.","Not publicly disclosed.","Personal information of present and former AECOM employees was exposed, including names, addresses, Social Security numbers, and personal bank account and routing numbers, via compromise of the US payroll system; exact number of employees affected was not confirmed in available public sources.","AECOM was compromised in a payroll-system hack attributed to the Pysa (Mespinoza) ransomware group's double-extortion operators; AECOM subsequently notified current and former employees that their personal data had been exposed and reported the incident to the California Attorney General's office. This is one of the better-documented incidents in the sector because it produced a formal breach notification rather than only a leak-site claim.","3"
"Construction::Turner Construction Company","Turner Construction Company","Discovered March 7, 2022","United States (one of the largest construction management firms in the US)","Not publicly disclosed.","Not publicly disclosed.","Not publicly disclosed.","Specific data types/volume were not detailed in available public sources beyond the leak-site listing itself.","Turner Construction Company was listed as a victim by the Everest ransomware group, a double-extortion (and increasingly pure data-extortion) operator active since December 2020 that has targeted government, healthcare, manufacturing and IT-services organizations across North America, Europe and Asia. Turner's inclusion illustrates the group's willingness to target top-tier construction management firms.","3"
"Educational Services::PowerSchool (SIS vendor serving K-12 districts in the US, Canada and elsewhere)","PowerSchool (SIS vendor serving K-12 districts in the US, Canada and elsewhere)","December 2024 (disclosed January 2025; district-level re-extortion May 2025)","US","Total programme cost not publicly disclosed. PowerSchool offered two years of identity protection and credit monitoring to affected students and educators; class-action litigation followed. Individual district remediation and notification costs were not publicly itemised.","Approximately $2.85 million in bitcoin demanded and PAID by PowerSchool, per US Department of Justice court documents made public 20 May 2025. Amounts sought in the subsequent district-level extortion attempts were not publicly disclosed.","No mass encryption event - this was exfiltration-only extortion, so districts did not suffer the closure pattern typical of encryption attacks. Recovery centred on notification, credit monitoring, credential resets and multi-jurisdiction regulatory response, extending well beyond a year and reopening when re-extortion began in May 2025.","The attacker claimed data on 62.4 million students and 9.5 million teachers across approximately 6,505 school districts in the US, Canada and other countries. Exposed fields included names, addresses, dates of birth, contact details, and for some individuals Social Security numbers and medical/grade information. Affected populations are overwhelmingly minors, whose identity exposure persists for d","The defining edtech aggregation event. An attacker used compromised credentials to access PowerSchool's PowerSource support portal and exfiltrate student and teacher data from the hosted SIS environment. PowerSchool paid an extortion demand in exchange for a video purporting to show deletion of the only copy of the data. The deletion proved worthless: in May 2025 the same data was used to extort individual school districts directly in Canada and North Carolina, with attackers sending samples to schools. PowerSchool stated it did not believe this was a new intrusion because the samples matched the December theft. This is the clearest available demonstration that paying for a deletion promise transfers no risk downstream, and that a single vendor compromise generates thousands of correlated district-level losses.","6"
"Educational Services::Instructure Holdings, Inc. (Canvas LMS)","Instructure Holdings, Inc. (Canvas LMS)","2026-05-01 (intrusion 29-30 April 2026; second breach within roughly two weeks)","US","Not publicly disclosed. Institutional costs spanned incident response, forensic review, portal remediation after defacement, and notification across thousands of schools.","Ransom PAID by Instructure under an agreement reached 11 May 2026; the amount was not publicly disclosed. Attackers reportedly returned the data and supplied 'shred logs' as claimed proof of destruction - the same unverifiable deletion assurance seen in the PowerSchool case.","Instructure took Canvas, Canvas Beta and Canvas Test offline on 7 May 2026 for investigation and restored service the following day; Canvas Data 2 and Canvas Beta had been in maintenance since 1 May. The Free-For-Teacher account programme was permanently shut down as a remediation measure. Roughly 330 institutions additionally had to remediate defaced login portals.","ShinyHunters claimed 3.6TB covering 275 million users across approximately 9,000 institutions (reporting also cites 8,809 universities, education ministries and other bodies) - figures Instructure has not confirmed. Instructure confirmed exposure of names, email addresses, student ID numbers and some private messages between Canvas users, and stated there was no evidence that passwords, financial ","Described in reporting as the largest education-sector breach on record. ShinyHunters exploited Instructure's Free-For-Teacher (FFT) programme - which allowed educators to create Canvas accounts without institutional verification - to reach production data, then breached the platform a second time within about two weeks. After Instructure missed the initial 7 May negotiation deadline, the group escalated by defacing Canvas login portals at roughly 330 institutions and pivoting to direct school-by-school extortion with a final 12 May deadline. Instructure reached a payment agreement on 11 May, one day before the leak deadline. The incident is the purest example of LMS vendor concentration risk: Canvas is used by 41% of US higher education institutions, so a single platform intrusion simultaneously exposed thousands of otherwise unconnected insureds.","6"
"Educational Services::University of Hawai'i Cancer Center","University of Hawai'i Cancer Center","2025-08-31 (discovered on or around 31 August 2025)","US","Not publicly disclosed. Costs included ransom payment, third-party forensic and recovery support, and notification plus remediation for up to 1.15 million individuals.","Ransom PAID - the centre worked with third-party cybersecurity experts to obtain a decryption tool and paid to prevent publication of the stolen data. The amount was not publicly disclosed.","Encrypted data was recovered using a decryption tool obtained through the payment. Specific outage duration was not publicly disclosed. Notification lagged roughly four months behind discovery, with the centre compiling names and addresses for study participants well after the August 2025 intrusion.","Up to 1.15 million individuals affected (some reporting cites approximately 1.2 million). Exposed data included Social Security numbers and driver's licence numbers sourced from the Hawai'i State Department of Transportation, and City and County of Honolulu voter registration records from 1998. Much of the affected population were research study participants rather than students or employees.","A university research-archive breach that illustrates how higher education accumulates liability for populations who were never students or staff. Attackers reached data from the Multiethnic Cohort (MEC) Study, a longitudinal epidemiological study established in 1993, plus files from three other diet-and-cancer studies. Compounding the event, the university did not notify affected study participants for roughly four months - a delay that drew specific public criticism and independent regulatory risk. Notably, the university PAID to prevent publication, making this one of the few education cases with a confirmed payment decision.","5"
"Educational Services::Highline Public Schools","Highline Public Schools","2024-09-07 (discovered Saturday 7 September 2024)","US","Not publicly disclosed. Costs included district-wide re-imaging of all student and staff devices, third-party forensic engagement, and three days of lost instruction across 34 schools.","Not publicly disclosed - the district declined to say how much was demanded, citing the ongoing investigation, and did not publicly confirm any payment.","All schools and activities closed for three days, from Monday 9 September through Wednesday 11 September 2024, reopening Thursday 12 September. Network systems remained disrupted into October 2024, when all student and staff devices had been re-imaged - roughly a month of degraded operation after classes resumed.","The district confirmed that highly sensitive personal, financial and medical data was breached. The precise number of affected students and staff was not publicly disclosed in the reporting reviewed.","The canonical K-12 operational-disruption case. Highline, a Washington state district of 34 schools serving roughly 17,500 students and 2,000 staff, detected the intrusion on a Saturday and immediately isolated critical systems - then closed every school and all activities for three days because core instructional and safety systems could not be trusted. It demonstrates the sector's defining characteristic for insurers: a school district has no degraded operating mode, so business interruption manifests as total closure of an essential public service, with statutory make-up obligations and knock-on effects to transport and meal programmes.","5"
"Educational Services::British Library","British Library","2023-10-28 (attack late October 2023)","GB","Approximately GBP 6-7 million in recovery costs, funded from roughly 40% of the library's financial reserves - about ten times the ransom demanded.","20 bitcoin demanded, approximately GBP 596,000 at the time. NOT PAID - the library refused, and Rhysida published the data.","Services were severely disrupted for months. The main catalogue returned online on 15 January 2024 in read-only format, roughly two and a half months after the attack, with other services expected to remain unavailable for months beyond that. Recovery was complicated by legacy infrastructure and constrained funding, documented in the library's own transparency reporting and subsequent academic analysis.","Approximately 600GB of material leaked publicly after refusal to pay, including internal documents and staff and user data. Full affected-individual counts were not publicly itemised in the reporting reviewed.","The UK's national library, described as one of the worst cyber incidents in British history. Rhysida rendered almost all VMware ESXi servers unavailable, taking down the website, on-site services and Wi-Fi; the library remained physically open but could accept only cash payments. The institution refused to pay and Rhysida published the stolen material. The case is the reference point for catastrophic recovery severity in a public, non-commercial education/research body: the recovery cost dwarfed the ransom demand by an order of magnitude, and the library had to consume roughly 40% of its financial reserves - a funding mechanism with no analogue in the commercial sector and a key consideration for public-institution insureds.","5"
"Educational Services::University of Manchester","University of Manchester","2023-06-05 (intrusion began 5 June 2023; detected 9 June; containment from 14 June)","GB","Not publicly disclosed.","Not publicly disclosed. No public confirmation of payment; the university worked with the ICO, NCSC and National Crime Agency.","Detected 9 June 2023 with containment beginning 14 June. Specific outage duration and full recovery timeline were not publicly disclosed; response ran in parallel with ICO and NCSC engagement.","Around 250GB of data accessed. Included NHS records relating to 1.1 million patients across more than 200 hospitals, gathered for medical research - with NHS numbers and the first three letters of patients' postcodes among the fields, plus major-trauma and terrorist-attack victim treatment data. Separately, student and alumni data was leaked including names, contact details, gender, dates of birth","The clearest illustration of research-data liability in higher education. Attackers reached a research archive holding NHS patient records gathered from more than 200 hospitals for medical research purposes - including major-trauma patient reports and treatment records for victims of terrorist attacks - alongside current student and alumni data. Attackers then emailed students and staff directly threatening to sell their data, a triple-extortion pressure tactic. The incident triggered questions in UK health and education policy about universities holding national-scale clinical datasets under research governance rather than clinical security controls.","5"
"Educational Services::Minneapolis Public Schools (Special School District No. 1)","Minneapolis Public Schools (Special School District No. 1)","2023-02-17 (encryption discovered 17 February 2023)","US","Not publicly disclosed. Costs included forensic investigation, restoration from backups, and notification plus credit monitoring for 105,617 individuals.","$1,000,000 demanded by Medusa with a 17 March 2023 deadline; the leak site also offered a $50,000-per-day deadline extension and listed the data for outright purchase at $1 million. NOT PAID - the district restored from internal backups and Medusa published the stolen files.","Widespread digital disruption following the 17 February 2023 encryption event; the district recovered encrypted data from internal backups rather than paying. Precise system-restoration duration was not publicly disclosed. Notification took seven months, completing in September 2023.","105,617 people notified as affected. Nearly 200,000 individual files containing sensitive student and educator information were released publicly, including student psychological and welfare records. Cybersecurity experts confirmed campus security maps and school security blueprints were among the leaked material - creating ongoing physical-safety risk to students.","The reference case for extortion harm to minors and for notification failure. Medusa demanded $1 million with a 17 March deadline, posted the district on its leak site with a countdown, offered to sell the data to any buyer for $1 million, and offered the district the option to pay $50,000 per additional day of delay. The district refused and restored from internal backups - but Medusa then published the files. Analysts confirmed the leaked corpus included school security blueprints, a physical-safety exposure that cannot be remediated by notification or credit monitoring. The district publicly characterised the event as an 'encryption event' and did not notify the 105,617 affected individuals until September 2023, seven months later.","6"
"Educational Services::Los Angeles Unified School District (LAUSD)","Los Angeles Unified School District (LAUSD)","2022-09-03 (attack 3 September 2022; leak-site posting 30 September 2022; data published 2 October 2022)","US","Not publicly disclosed as a single figure. The district funded incident response, credit monitoring for affected individuals including contractors whose SSNs were exposed, and a subsequent security programme uplift.","Demand amount not publicly disclosed. NOT PAID - LAUSD publicly refused, stating public dollars are better spent on students than on criminals, and Vice Society published the data on its leak blog on 2 October 2022.","The attack disrupted district systems in early September 2022 at the start of the school year, though schools remained open. Threat actors had persistent access from 31 July to 3 September 2022 before detection - a dwell time of over a month. Full remediation timeline was not publicly disclosed.","500GB of data stolen and published. The trove included student psychological assessments, health information including COVID-19 test data, and prior conviction reports. LAUSD separately confirmed that contractors' Social Security numbers were among the stolen data. Passport data and other sensitive identifiers were also reported as potentially included.","The attack that made K-12 ransomware a national policy issue in the US. Vice Society - the group that dominated education targeting in this period, ranking fourth all-time in the Education dataset with 63 victims - dwelled in the network of the second-largest US school district for over a month, from 31 July to 3 September 2022. LAUSD publicly refused to pay on the principle that 'dollars must be used to fund students and education' and that paying never guarantees full recovery, following FBI guidance. Vice Society published the full 500GB trove in retaliation. The leaked data's contents - student psychological assessments, health and COVID-19 test data, and prior conviction reports - established the template for how education extortion inflicts harm on minors specifically.","6"
"Energy and Utilities::Colonial Pipeline","Colonial Pipeline","2021-05-07","USA","No single official total disclosed by the company; national gasoline price spiked to a 6+ year high (~$3.04/gal). Ransom of $4.4M paid (see below). Widespread regional economic disruption from fuel shortages.","$4.4M paid (75 bitcoin) within hours, overseen by the FBI. On June 7, 2021 the DOJ announced seizure/recovery of 63.7 BTC, then worth ~$2.3M (lower than paid amount due to BTC price drop).","All pipeline operations halted May 7; systems and operations returned to normal by May 15 (~6-day shutdown). Decryptor tool from DarkSide was slow, so recovery largely relied on Colonial's own restoration.","Attackers exfiltrated roughly 100GB of data prior to encryption (double-extortion); primary impact was operational/physical rather than a large PII breach.","The largest refined-fuels pipeline in the US (Houston to the Southeast) was hit by DarkSide ransomware on its IT systems. Colonial proactively halted ALL pipeline operations to contain the attack. The 6-day shutdown interrupted fuel distribution to 17 states, triggering panic-buying, fuel shortages, and the highest average US gasoline price in over six years (~$3.04/gal by May 18). It is the defining cyber-physical energy ransomware case and prompted new TSA pipeline security directives.","4"
