from,from_label,to,to_label
"Information Technology::Tata Technologies","Incident","India","Country"
"Information Technology::QuickLogic Corporation","Incident","not publicly disclosed","Country"
"Information Technology::NCR Corporation","Incident","United States","Country"
"Information Technology::DISH Network Corporation","Incident","United States","Country"
"Information Technology::NCR Voyix Corporation","Incident","not publicly disclosed","Country"
"Information Technology::AFG Companies, Inc.","Incident","USA","Country"
"Information Technology::Rackspace Technology","Incident","not publicly disclosed","Country"
"Information Technology::Ingram Micro Holding Corporation","Incident","United States","Country"
"Information Technology::Data I/O Corporation","Incident","USA","Country"
"Information Technology::Trio-Tech International","Incident","Singapore","Country"
"Information Technology::Brand Engagement Network Inc.","Incident","United States","Country"
"Manufacturing::Norsk Hydro","Incident","Norway","Country"
"Manufacturing::Honda Motor Co.","Incident","Japan","Country"
"Manufacturing::Foxconn (CTBG MX plant, Ciudad Juárez)","Incident","Mexico","Country"
"Manufacturing::Volvo Car Corporation","Incident","Sweden","Country"
"Manufacturing::Bridgestone Americas","Incident","United States","Country"
"Manufacturing::Continental AG","Incident","Germany","Country"
"Manufacturing::Yamaha Motor Philippines, Inc.","Incident","Philippines","Country"
"Manufacturing::Nissan Australia (Nissan Oceania)","Incident","Australia","Country"
"Manufacturing::MKS Instruments, Inc.","Incident","USA","Country"
"Manufacturing::Gates Industrial Corporation plc","Incident","United States","Country"
"Manufacturing::Tecogen Inc.","Incident","United States","Country"
"Manufacturing::Ultralife Corporation","Incident","United States","Country"
"Manufacturing::Hillman Solutions Corp.","Incident","United States","Country"
"Manufacturing::PGT Innovations, Inc.","Incident","USA","Country"
"Manufacturing::HanesBrands Inc.","Incident","United States","Country"
"Manufacturing::Sensata Technologies Holding plc","Incident","United States","Country"
"Manufacturing::The Coca-Cola Company","Incident","United States","Country"
"Manufacturing::Mueller Water Products, Inc.","Incident","United States","Country"
"Manufacturing::Johnson Controls International plc","Incident","Ireland","Country"
"Manufacturing::Hillman Group","Incident","not publicly disclosed","Country"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Cognizant Technology Solutions","Incident","United States","Country"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Accenture","Incident","Ireland","Country"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::CWT (Carlson Wagonlit Travel)","Incident","United States","Country"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Sopra Steria","Incident","France","Country"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Toll Group","Incident","Australia","Country"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Estes Express Lines","Incident","United States","Country"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Conduent Business Services, LLC","Incident","United States","Country"
"Professional, Scientific, Technical Services, Real Estate and Wholesale Trade::Cushman & Wakefield","Incident","United States / global","Country"
"Public Administration (Government)::Government of Costa Rica (national ministries)","Incident","Costa Rica","Country"
"Public Administration (Government)::City of Atlanta, Georgia","Incident","United States","Country"
"Public Administration (Government)::City of Baltimore, Maryland","Incident","United States","Country"
"Public Administration (Government)::City of Dallas, Texas","Incident","United States","Country"
"Public Administration (Government)::City of Columbus, Ohio","Incident","United States","Country"
"Public Administration (Government)::The British Library","Incident","United Kingdom","Country"
"Public Administration (Government)::City of Saint Paul, Minnesota","Incident","United States","Country"
"Public Administration (Government)::State of Nevada","Incident","United States","Country"
"Retail Trade and Consumer Services::Marks & Spencer (M&S)","Incident","United Kingdom","Country"
"Retail Trade and Consumer Services::Co-op Group","Incident","United Kingdom","Country"
"Retail Trade and Consumer Services::CDK Global (SaaS/DMS provider to ~15,000 US/Canada auto dealerships - third-party supply-chain incident affecting the retail auto sector broadly)","Incident","United States / Canada","Country"
"Retail Trade and Consumer Services::MGM Resorts International","Incident","United States","Country"
"Retail Trade and Consumer Services::Caesars Entertainment","Incident","United States","Country"
"Retail Trade and Consumer Services::Ralph Lauren Corporation","Incident","United States","Country"
"Retail Trade and Consumer Services::Madison Square Garden Sports Corp. (parent of the New York Knicks; consumer/entertainment services)","Incident","United States","Country"
"Retail Trade and Consumer Services::Karl Chevrolet / Karl Auto Group","Incident","United States","Country"
"Retail Trade and Consumer Services::PChome (pchome.com.tw) / NetHome Group and subsidiary Bibian","Incident","Taiwan","Country"
"Retail Trade and Consumer Services::Citi Trends, Inc.","Incident","United States","Country"
"Telecommunications::Telecom Argentina S.A.","Incident","Argentina","Country"
"Telecommunications::Cincinnati Bell (now altafiber)","Incident","United States","Country"
"Telecommunications::Telecommunications Services of Trinidad and Tobago (TSTT)","Incident","Trinidad and Tobago","Country"
"Telecommunications::WideOpenWest (WOW!)","Incident","United States","Country"
"Telecommunications::SK Telecom","Incident","South Korea","Country"
"Telecommunications::Colt Technology Services","Incident","United Kingdom","Country"
"Telecommunications::Orange S.A. (Orange Group, incl. Orange Belgium subsidiary)","Incident","France","Country"
"Telecommunications::American Tower Corporation","Incident","United States","Country"
"Telecommunications::Lumen Technologies, Inc.","Incident","United States","Country"
"Transportation and Warehousing::A.P. Moller-Maersk","Incident","Denmark","Country"
"Transportation and Warehousing::Toll Group","Incident","Australia","Country"
"Transportation and Warehousing::Expeditors International of Washington","Incident","United States","Country"
"Transportation and Warehousing::Port of Nagoya (Nagoya Harbor Transportation Association / Nagoya United Terminal System)","Incident","Japan","Country"
"Transportation and Warehousing::KNP Logistics Group (Knights of Old)","Incident","United Kingdom","Country"
"Transportation and Warehousing::Estes Express Lines","Incident","United States","Country"
"Transportation and Warehousing::ORBCOMM (FleetManager / BT-series ELD platform)","Incident","United States","Country"
"Transportation and Warehousing::JAS Worldwide","Incident","United States","Country"
"Transportation and Warehousing::RTX Corporation","Incident","United States","Country"
