victim,sector,group,country,attackdate,discovered,domain,data_size,has_press,ransom
"NATURGHIACCIO","Agriculture and Food Production","thegentlemen","IT","2026-06-30","2026-07-01","naturghiaccio.it","","",""
"AC Beverage, Inc.","Agriculture and Food Production","pear","US","2026-06-30","2026-07-03","acbeverage.com","","",""
"Lam Soon","Agriculture and Food Production","qilin","TH","2026-06-29","2026-06-29","www.lamsoon.co.th","","",""
"NASCO","Agriculture and Food Production","qilin","US","2026-06-29","2026-06-29","www.nasco.com","","",""
"agroprime","Agriculture and Food Production","dragonforce","BR","2026-06-28","2026-06-29","agroprime.com","","",""
"Frosty Acres Brands","Agriculture and Food Production","Booba Project","US","2026-06-24","2026-07-06","www.frostyacres.com","","",""
"GSP Crop Science Pvt","Agriculture and Food Production","incransom","IN","2026-06-24","2026-06-25","gspcrop.in","","yes",""
"Coldstat Refrigeration","Agriculture and Food Production","cmdorganization","GB","2026-06-23","2026-06-23","www.coldstat.com","","",""
"eggetttax.ca","Agriculture and Food Production","BrainCipher","CA","2026-06-22","2026-06-22","eggetttax.ca","","",""
"Union Tractor","Agriculture and Food Production","cmdorganization","US","2026-06-22","2026-06-22","www.uniontractor.com","","",""
"owensborograin.com","Agriculture and Food Production","settra","US","2026-06-19","2026-06-30","owensborograin.com","","",""
"Skupina Don Don - GRUPO BIMBO","Agriculture and Food Production","qilin","SI","2026-06-18","2026-06-18","www.dondon.si","","",""
"SELECT WINES","Agriculture and Food Production","bravox","CA","2026-06-18","2026-06-18","www.selectwines.ca","","",""
"Amigest","Agriculture and Food Production","thegentlemen","FR","2026-06-18","2026-06-20","amigest.fr","","",""
"gut-heckenhof.de","Agriculture and Food Production","safepay","DE","2026-06-17","2026-06-17","gut-heckenhof.de","","",""
"Great Foods","Agriculture and Food Production","lamashtu","EG","2026-06-17","2026-06-17","greatfoods.com.eg","","",""
"sleemanbreweries.ca","Agriculture and Food Production","chaos","CA","2026-06-17","2026-07-14","sleemanbreweries.ca","","yes",""
"Allan Brothers Fruit","Agriculture and Food Production","aurora","US","2026-06-16","2026-06-16","Allan Brothers Fruit","","",""
"Sysco Corporation","Agriculture and Food Production","shinyhunters","US","2026-06-15","2026-06-15","","","",""
"Fecovita","Agriculture and Food Production","thegentlemen","AR","2026-06-15","2026-06-15","fecovita.com","","",""
"pokka.co","Agriculture and Food Production","incransom","SG","2026-06-14","2026-07-18","pokka.co","","yes",""
"agroexportavocados.com","Agriculture and Food Production","threeam","MX","2026-06-12","2026-06-12","agroexportavocados.com","","",""
"Nueva Pescanova Group","Agriculture and Food Production","direwolf","ES","2026-06-12","2026-06-12","nuevapescanova.com","","",""
"Kee Wah Bakery","Agriculture and Food Production","dragonforce","HK","2026-06-12","2026-07-16","www.keewah.com","","yes",""
"PatayaFood","Agriculture and Food Production","lamashtu","TH","2026-06-10","2026-06-10","patayafood.com","","",""
"Centra Sota Cooperative","Agriculture and Food Production","worldleaks","US","2026-06-10","2026-06-10","www.centrasota.com","","",""
"Mackay Sugar","Agriculture and Food Production","thegentlemen","AU","2026-06-10","2026-06-15","mkysugar.com.au","","yes",""
"Cal Fresh","Agriculture and Food Production","termite","CA","2026-06-08","2026-06-09","calfresh.ca.gov","","",""
"Urschel Laboratories","Agriculture and Food Production","play","US","2026-06-04","2026-06-04","www.urschel.com","","",""
"hmcfarms.com","Agriculture and Food Production","settra","US","2026-06-04","2026-06-28","hmcfarms.com","","",""
"Copamex","Agriculture and Food Production","dragonforce","MX","2026-06-03","2026-06-03","copamex.com","","",""
"Soja de Portugal","Agriculture and Food Production","thegentlemen","PT","2026-06-03","2026-06-04","write.as","","",""
"Eat Salad","Agriculture and Food Production","qilin","BR","2026-06-03","2026-06-03","www.eatsalad.com","","",""
"probat.ag","Agriculture and Food Production","lockbit5","DE","2026-06-03","2026-06-20","probat.ag","","",""
"Cropwise (Syngenta Group)","Agriculture and Food Production","shadowbyt3$","CH","2026-06-02","2026-06-02","","","",""
"SIRILAK SEAFOOD (PW) LTD.","Agriculture and Food Production","titan","LK","2026-05-29","2026-05-30","","","",""
"Badan Pangan Nasional","Agriculture and Food Production","nova","ID","2026-05-29","2026-05-29","badanpangan.go.id","","",""
"Heartland Growers","Agriculture and Food Production","thegentlemen","US","2026-05-28","2026-05-28","heartlandgrowers.com","","",""
"Osool Poultry","Agriculture and Food Production","qilin","SA","2026-05-28","2026-05-28","osoolpoultry.com","","",""
"dunasgroen.nl","Agriculture and Food Production","dragonforce","NL","2026-05-27","2026-05-27","dunasgroen.nl","","",""
"pieralisi.com","Agriculture and Food Production","dragonforce","IT","2026-05-27","2026-05-27","pieralisi.com","","",""
"duboisag.com","Agriculture and Food Production","dragonforce","CH","2026-05-27","2026-05-27","duboisag.com","","",""
"vegfresh.com","Agriculture and Food Production","dragonforce","US","2026-05-25","2026-05-25","vegfresh.com","","",""
"Heartland Growers","Agriculture and Food Production","dragonforce","US","2026-05-24","2026-05-24","heartlandgrowers.com","","",""
"Ma Pak Leung Company Limited","Agriculture and Food Production","ransomhouse","HK","2026-05-23","2026-06-08","www.mapakleung.com","","",""
"grupopetersen.com.ar","Agriculture and Food Production","apt73","AR","2026-05-21","2026-05-21","grupopetersen.com.ar","","",""
"Grupo Pasquel","Agriculture and Food Production","thegentlemen","EC","2026-05-21","2026-05-21","grupopasquel.com","","",""
"Vial Agro","Agriculture and Food Production","qilin","AR","2026-05-20","2026-05-20","www.vialagro.com.ar","","",""
"hollandbulbfarms.com","Agriculture and Food Production","lockbit5","US","2026-05-19","2026-06-11","hollandbulbfarms.com","","",""
"Fruits Queralt","Agriculture and Food Production","qilin","ES","2026-05-17","2026-05-17","www.fqueralt.com","","",""
"The Taylor Provisions","Agriculture and Food Production","qilin","GB","2026-05-17","2026-05-17","www.originaltaylorporkroll.com","","",""
"Comercial Echave Turri Limitada","Agriculture and Food Production","qilin","CL","2026-05-17","2026-05-17","www.ajj.cl","","",""
"Parle Agro","Agriculture and Food Production","lamashtu","IN","2026-05-16","2026-05-16","parleagro.com","","",""
"United Quality Cooperative / www.uqcoop.com","Agriculture and Food Production","incransom","US","2026-05-15","2026-05-15","uqcoop.com","","",""
"ag-360.ca","Agriculture and Food Production","lockbit5","CA","2026-05-15","2026-06-20","ag-360.ca","","",""
"molinoscabodi.com.ar","Agriculture and Food Production","threeam","AR","2026-05-14","2026-06-12","molinoscabodi.com.ar","","",""
"Pro Farm Group Inc","Agriculture and Food Production","pear","US","2026-05-14","2026-05-20","profarm.com","","",""
"Filabé","Agriculture and Food Production","spacebears","CH","2026-05-13","2026-05-26","www.filabe.ch","","",""
"Domaine Des Tournels","Agriculture and Food Production","qilin","FR","2026-05-13","2026-05-13","www.domaine-des-tournels.com","","",""
"Dodson & Horrell","Agriculture and Food Production","thegentlemen","GB","2026-05-12","2026-05-12","dodsonandhorrell.com","","",""
"RAMAR FOODS INTERNATIONAL","Agriculture and Food Production","termite","US","2026-05-12","2026-05-16","www.ramarfoods.com","","",""
"centralromana.com.do","Agriculture and Food Production","lockbit5","DO","2026-05-12","2026-06-11","centralromana.com.do","","",""
"Circle U Foods","Agriculture and Food Production","akira","US","2026-05-11","2026-05-11","circleufoods.com","","",""
"Karlin Foods","Agriculture and Food Production","akira","US","2026-05-07","2026-05-22","karlinfoods.com","","",""
"soavegel.it","Agriculture and Food Production","safepay","IT","2026-05-06","2026-05-06","soavegel.it","","",""
"CEAGESP / Netfeirasp","Agriculture and Food Production","medusalocker","BR","2026-05-05","2026-05-05","netfeirasp.ceagesp","","",""
"foodsmart.com.do","Agriculture and Food Production","krybit","DO","2026-05-05","2026-05-05","foodsmart.com.do","","",""
"maiadouro.pt","Agriculture and Food Production","safepay","PT","2026-05-04","2026-05-04","maiadouro.pt","","",""
"Farmers Association of Iceland","Agriculture and Food Production","thegentlemen","IS","2026-05-03","2026-05-06","bondi.is","","",""
"La Kaffa International","Agriculture and Food Production","thegentlemen","IT","2026-05-03","2026-05-06","lakaffagroup.com","","",""
"Kasapreko","Agriculture and Food Production","thegentlemen","GH","2026-05-03","2026-05-06","kasapreko.com","","",""
"The Modern Flour Mill","Agriculture and Food Production","thegentlemen","","2026-05-03","2026-05-06","modernflourmills.com","","",""
"exceldor.ca","Agriculture and Food Production","BrainCipher","CA","2026-05-01","2026-05-01","exceldor.ca","","",""
"IWC Food Service","Agriculture and Food Production","play","US","2026-05-01","2026-05-12","www.goiwc.com","","",""
"See's Candies","Agriculture and Food Production","qilin","US","2026-04-30","2026-04-30","www.sees.com","","",""
"Marutake","Agriculture and Food Production","thegentlemen","JP","2026-04-28","2026-05-06","kk-marutake.co.jp","","yes",""
"trifecta.com","Agriculture and Food Production","apt73","US","2026-04-27","2026-04-27","trifecta.com","","",""
"bigalsfoodservice.co.uk","Agriculture and Food Production","apt73","GB","2026-04-27","2026-04-27","bigalsfoodservice.co.uk","","",""
"vanheyghenstaal.be","Agriculture and Food Production","apt73","BE","2026-04-27","2026-04-27","vanheyghenstaal.be","","",""
"cofaco.com","Agriculture and Food Production","apt73","CO","2026-04-27","2026-04-27","cofaco.com","","",""
"Casale Del Giglio","Agriculture and Food Production","orca","IT","2026-04-27","2026-04-27","www.casaledelgiglio.it","","",""
"Cahbo Produkter","Agriculture and Food Production","qilin","SE","2026-04-25","2026-04-25","www.cahbo.se","","",""
"SanCor","Agriculture and Food Production","qilin","AR","2026-04-25","2026-04-25","www.sancor.com","","",""
"Malaysian NPK Fertilizer Sdn. Bhd","Agriculture and Food Production","lamashtu","MY","2026-04-25","2026-04-25","mnfsb.com.my","","",""
"The FAFS","Agriculture and Food Production","qilin","US","2026-04-23","2026-04-23","www.fafscorp.com","","",""
"Kementerian Pertanian","Agriculture and Food Production","coinbasecartel","ID","2026-04-23","2026-04-23","pertanian.go.id","","",""
"Equatorial Coca-Cola Bottling","Agriculture and Food Production","worldleaks","ES","2026-04-22","2026-04-22","www.eccbc.com","","",""
"NL Fisher","Agriculture and Food Production","play","NL","2026-04-21","2026-05-25","www.nlfisher.com","","",""
"Nutrabio","Agriculture and Food Production","everest","US","2026-04-20","2026-04-20","nutrabio.com","","",""
"The Great Cookie","Agriculture and Food Production","qilin","US","2026-04-19","2026-04-19","www.thegreatcookie.com","","",""
"murni.co.id","Agriculture and Food Production","lockbit5","ID","2026-04-17","2026-04-26","murni.co.id","","",""
"Marino Food Products Pvt","Agriculture and Food Production","payload","LK","2026-04-16","2026-04-16","marino.co.in","30 GB","",""
"El Ordeno","Agriculture and Food Production","thegentlemen","EC","2026-04-15","2026-04-19","elordeno.com","","",""
"Marchesi di Barolo","Agriculture and Food Production","thegentlemen","IT","2026-04-15","2026-04-19","marchesibarolo.com","","",""
"Double C Farm","Agriculture and Food Production","thegentlemen","US","2026-04-14","2026-04-14","doublecfarm.net","","",""
"La Tuilerie","Agriculture and Food Production","akira","CA","2026-04-14","2026-04-14","latuilerie.com","","",""
"Frutcola Olmué","Agriculture and Food Production","qilin","CL","2026-04-13","2026-04-13","www.olmue.com","","",""
"Scholle IPN","Agriculture and Food Production","coinbasecartel","US","2026-04-08","2026-04-08","scholleipn.com","","",""
"JBS Brazil - Sample uploaded","Agriculture and Food Production","coinbasecartel","BR","2026-04-08","2026-04-08","jbs.com.br","","",""
"Mahyco Pvt","Agriculture and Food Production","thegentlemen","IN","2026-04-08","2026-04-08","mahyco.com","","",""
"G Plants","Agriculture and Food Production","dragonforce","GB","2026-04-04","2026-04-04","www.gplants.com","","",""
"Jordan India Fertilizer Company","Agriculture and Food Production","netrunner","JO","2026-04-03","2026-04-03","jifco.co","","",""
"Piet Vijverberg","Agriculture and Food Production","AiLock","NL","2026-04-03","2026-04-03","pietvijverberg.nl","","",""
"sutex.com","Agriculture and Food Production","dragonforce","CN","2026-04-02","2026-04-02","sutex.com","","",""
"earthprotect.co.jp","Agriculture and Food Production","lockbit5","JP","2026-04-01","2026-04-14","earthprotect.co.jp","","",""
"Rockville Fuel & Feed","Agriculture and Food Production","akira","US","2026-04-01","2026-04-24","rockvilleconcrete.com","","yes",""
"SBCTANZANIA","Agriculture and Food Production","morpheus","TZ","2026-03-30","2026-03-30","sbctanzania.co.tz","","",""
"Alliance Select Foods International","Agriculture and Food Production","dragonforce","PH","2026-03-29","2026-03-29","allianceselectfoods.com","","",""
"seleniaravenna.it","Agriculture and Food Production","lockbit5","IT","2026-03-27","2026-04-14","seleniaravenna.it","","",""
"Sunspray Food","Agriculture and Food Production","thegentlemen","ZA","2026-03-26","2026-04-19","sunspray.co.za","","",""
"daikyonishikawa.co.jp","Agriculture and Food Production","lockbit5","JP","2026-03-26","2026-06-20","daikyonishikawa.co.jp","","yes",""
"Marborges Agroindustria","Agriculture and Food Production","exitium","BR","2026-03-23","2026-03-23","marborges.com.br","","",""
"Nafco","Agriculture and Food Production","akira","JP","2026-03-23","2026-03-23","nafcofish.com","","",""
"vatractor.com","Agriculture and Food Production","dragonforce","US","2026-03-19","2026-03-19","www.vatractor.com","","",""
"Productos La Aguadillana","Agriculture and Food Production","qilin","PR","2026-03-18","2026-03-18","www.aguadillana.com","","",""
"mattandsteve.com","Agriculture and Food Production","safepay","CA","2026-03-17","2026-03-17","mattandsteve.com","","",""
"Interpack Northwest","Agriculture and Food Production","sinobi","US","2026-03-17","2026-03-18","www.interpacknorthwest.com","","",""
"J.T. Pack of Foods","Agriculture and Food Production","payload","TH","2026-03-14","2026-03-14","jtpackoffoods.com","60 GB","",""
"Alcoholes Finos Dominicanos","Agriculture and Food Production","payload","DO","2026-03-14","2026-03-14","afdrd.com","5 GB","",""
"Cannavative Group","Agriculture and Food Production","nightspire","US","2026-03-13","2026-03-22","www.cannavativegroup.com","300GB","",""
"[Redacted] Takedown Notice #2054","Agriculture and Food Production","dragonforce","AU","2026-03-11","2026-03-11","","","",""
"JBS Brazil - We have 3TB of your data - Pics added","Agriculture and Food Production","coinbasecartel","BR","2026-03-11","2026-03-11","","","",""
"commerfrutta.com","Agriculture and Food Production","lockbit5","IT","2026-03-09","2026-03-30","commerfrutta.com","","",""
"Grupo San Jacinto","Agriculture and Food Production","thegentlemen","PE","2026-03-09","2026-03-09","sanjacinto.com.mx","","",""
"Cosmesia","Agriculture and Food Production","thegentlemen","TH","2026-03-09","2026-03-09","nutritionprofess.com","","",""
"awvgrazerfeld.at","Agriculture and Food Production","lockbit5","AT","2026-03-09","2026-04-14","awvgrazerfeld.at","","",""
"Brothers Produce","Agriculture and Food Production","qilin","US","2026-03-07","2026-03-07","www.brothersproduce.com","","",""
"Northern Family Farms","Agriculture and Food Production","dragonforce","US","2026-03-07","2026-03-07","www.northernfamilyfarms.com","","",""
"JBS Brazil - We have 3TB of your data","Agriculture and Food Production","coinbasecartel","BR","2026-03-05","2026-03-05","jbs.com.br","","",""
"Equine Canada","Agriculture and Food Production","play","CA","2026-03-03","2026-03-03","www.equestrian.ca","","",""
"All India Minerals","Agriculture and Food Production","thegentlemen","IN","2026-03-01","2026-03-01","allindiaminerals.com","","",""
"tanufwater.com","Agriculture and Food Production","lockbit5","OM","2026-02-28","2026-03-30","tanufwater.com","","",""
"societaitalianaalimenti.it","Agriculture and Food Production","lockbit5","IT","2026-02-28","2026-03-30","societaitalianaalimenti.it","","",""
"Silvestres","Agriculture and Food Production","thegentlemen","US","2026-02-25","2026-02-25","silvestres.com","","",""
"Sus Insumos S.A.S","Agriculture and Food Production","vect","CO","2026-02-25","2026-02-25","Susinsumos.com","","",""
"El IBR","Agriculture and Food Production","thegentlemen","ES","2026-02-24","2026-02-24","ibr-conicet.gov.ar","","",""
"Jac Vandenberg","Agriculture and Food Production","dragonforce","US","2026-02-24","2026-02-24","jacvandenberg.com","","",""
"flamagasindia.com","Agriculture and Food Production","lockbit5","IN","2026-02-24","2026-03-30","flamagasindia.com","","",""
"brassuco.com.br","Agriculture and Food Production","lockbit5","BR","2026-02-24","2026-03-01","brassuco.com.br","","",""
"Robinson Nursery","Agriculture and Food Production","akira","US","2026-02-21","2026-03-11","robinsonnursery.com","","",""
"Murray's Cheese","Agriculture and Food Production","akira","US","2026-02-21","2026-03-11","murrayscheese.com","","",""
"yaomazi.com","Agriculture and Food Production","lockbit5","CN","2026-02-21","2026-03-01","yaomazi.com","","",""
"Graneles de Chile","Agriculture and Food Production","qilin","CL","2026-02-19","2026-02-19","www.granelesdechile.com","","",""
"Del Monte Foods","Agriculture and Food Production","payoutsking","US","2026-02-19","2026-04-30","delmontefoods.com","","",""
"Grupo Progresso","Agriculture and Food Production","thegentlemen","BR","2026-02-18","2026-02-21","grupoprogresso.agr.br","","",""
"Union Laitiere de la Meuse","Agriculture and Food Production","nightspire","FR","2026-02-18","2026-03-03","www.ulm-coop.com","","",""
"Pollo Cibao","Agriculture and Food Production","thegentlemen","DO","2026-02-17","2026-02-21","pollocibao.com","","",""
"Tripod Farmers","Agriculture and Food Production","qilin","AU","2026-02-17","2026-05-28","www.tripodfarmers.com.au","","",""
"Yew Tree Dairy","Agriculture and Food Production","interlock","GB","2026-02-16","2026-02-16","https:yewtreedairy.co.uk","","",""
"Sakata Seed America","Agriculture and Food Production","qilin","US","2026-02-12","2026-02-12","www.sakatavegetables.com","","",""
"rswater.ae","Agriculture and Food Production","incransom","SA","2026-02-12","2026-02-12","rswater.ae","","",""
"John O's Foods","Agriculture and Food Production","bravox","CA","2026-02-11","2026-02-11","www.johnofoods.com","170.7GB","",""
"Mt Barker Co-Operative","Agriculture and Food Production","qilin","AU","2026-02-11","2026-02-11","www.mtbarkercoop.com.au","","",""
"The Sundher Group","Agriculture and Food Production","sinobi","CA","2026-02-10","2026-02-10","sundhergroup.com","","",""
"LONGHORNORGANICS.COM","Agriculture and Food Production","clop","US","2026-02-07","2026-02-07","LONGHORNORGANICS.COM","","",""
"thaihua.com","Agriculture and Food Production","lockbit5","TH","2026-02-04","2026-03-30","thaihua.com","","",""
"Siwax Specialties Group","Agriculture and Food Production","akira","ES","2026-02-04","2026-03-06","siwaxgroup.com","","",""
"Royal Wine Corp","Agriculture and Food Production","akira","US","2026-02-04","2026-02-04","royalwine.com","","",""
"OFFICINE FRATELLI AMADORI snc","Agriculture and Food Production","nightspire","IT","2026-02-03","2026-02-25","www.officineamadori.com","","",""
"Range Cooperatives","Agriculture and Food Production","qilin","US","2026-02-02","2026-02-02","www.rangelp.net","","",""
"Jcm Agricola","Agriculture and Food Production","qilin","ES","2026-02-02","2026-02-02","www.jcmagricola.com","","",""
"ripobec.com","Agriculture and Food Production","safepay","CA","2026-02-02","2026-03-03","ripobec.com","","",""
"La Rioja Alta","Agriculture and Food Production","lynx","ES","2026-01-30","2026-02-15","www.lariojaalta.com","","",""
"Lusamerica Foods","Agriculture and Food Production","play","US","2026-01-30","2026-02-13","www.lusamerica.com","","",""
"Valbifrut","Agriculture and Food Production","qilin","CL","2026-01-28","2026-01-28","www.valbifrut.cl","","",""
"DeRenzis & Associates","Agriculture and Food Production","incransom","US","2026-01-28","2026-01-28","derenzisllp.com","","",""
"FRUIT-BONTÉ Agroalimentaire","Agriculture and Food Production","tengu","FR","2026-01-27","2026-01-27","mda-agro.com","","",""
"Şemsioğlu Uşak Ev Tarhanası","Agriculture and Food Production","qilin","TR","2026-01-25","2026-01-25","semsioglu.com.tr","","",""
"Gady Family","Agriculture and Food Production","thegentlemen","AT","2026-01-25","2026-02-06","gady.at","","yes",""
"Ocean Fish","Agriculture and Food Production","akira","GB","2026-01-22","2026-01-22","oceanfish.com","","",""
"Icat Food SpA","Agriculture and Food Production","akira","IT","2026-01-21","2026-02-16","icatfood.it","","",""
"San Carlo Gruppo Alimentare","Agriculture and Food Production","thegentlemen","IT","2026-01-20","2026-01-20","www.sancarlo.it","","",""
"Grupo Roa","Agriculture and Food Production","tengu","CO","2026-01-16","2026-01-16","gruporoa.mx","","",""
"1171 Rue Notre Dame O, Victoriaville, QC G6P 7L1, Canada. (819) 758-0313","Agriculture and Food Production","dragonforce","CA","2026-01-15","2026-01-15","soteck.com","","",""
"Ocean Fish","Agriculture and Food Production","lynx","RO","2026-01-14","2026-01-19","www.oceanfish.com","","",""
"pronaca.com","Agriculture and Food Production","devman","SJ","2026-01-12","2026-01-12","pronaca.com","","",""
"www.charoenchai.com","Agriculture and Food Production","tengu","TH","2026-01-12","2026-01-12","www.charoenchai.com","","",""
"CompactInd","Agriculture and Food Production","incransom","US","2026-01-10","2026-01-10","compactind.com","","",""
"MUTTI-PARMA.COM","Agriculture and Food Production","clop","IT","2026-01-08","2026-01-08","MUTTI-PARMA.COM","","",""
"PTS Goldkist Industries Sdn Bhd","Agriculture and Food Production","qilin","MY","2026-01-08","2026-01-08","www.hyfresh.com.my","","",""
"Epi du Rouergue","Agriculture and Food Production","nova","FR","2026-01-06","2026-01-06","","","",""
"www.granosycereales.com.co","Agriculture and Food Production","lynx","CO","2026-01-05","2026-01-05","www.granosycereales.com.co","","",""
"Gebrüder Bagusat GmbH & Co. KG","Agriculture and Food Production","akira","DE","2026-01-05","2026-01-05","bagusat.com","","",""
"Raymundos Food Group","Agriculture and Food Production","play","US","2026-01-04","2026-01-20","www.raymundos.com","","",""
"Garner Foods","Agriculture and Food Production","play","US","2026-01-02","2026-01-02","www.garnerfoods.com","","",""
"davidrosenbakerysupply.com","Agriculture and Food Production","safepay","US","2025-12-29","2025-12-29","davidrosenbakerysupply.com","","",""
"sproutnet.com","Agriculture and Food Production","safepay","US","2025-12-29","2025-12-29","sproutnet.com","","",""
"Typhoo Tea","Agriculture and Food Production","qilin","GB","2025-12-27","2025-12-27","www.typhoo.co.uk","","",""
"VALLEREDONDO","Agriculture and Food Production","morpheus","ES","2025-12-27","2025-12-27","valleredondo.com.mx","","",""
"urfishtrade.com","Agriculture and Food Production","lockbit5","DE","2025-12-24","2025-12-26","urfishtrade.com","","",""
"Ever Green Industria e Comercio Ltda","Agriculture and Food Production","thegentlemen","BR","2025-12-24","2025-12-24","www.evergreen.com.br","","",""
"Usina Sao Jose Do Pinheiro","Agriculture and Food Production","thegentlemen","BR","2025-12-24","2025-12-24","www.usjp.com.br","","",""
"Prime Label","Agriculture and Food Production","dragonforce","US","2025-12-24","2025-12-24","primelabel.com","","",""
"Agrícola Cerro Prieto","Agriculture and Food Production","blackshrantac","PE","2025-12-23","2025-12-23","agricolacerroprieto.pe","","",""
"Callipo Group","Agriculture and Food Production","qilin","IT","2025-12-22","2025-12-22","www.callipogroup.com","","",""
"Guan Chong Berhad","Agriculture and Food Production","direwolf","MY","2025-12-22","2025-12-22","gcbcocoa.com","1100GB","",""
"Grupo Olé","Agriculture and Food Production","qilin","ES","2025-12-22","2025-12-22","www.hiperole.com.do","","",""
"Grandes Vinos","Agriculture and Food Production","qilin","ES","2025-12-18","2025-12-18","www.grandesvinos.com/en","","",""
"Callipo Group","Agriculture and Food Production","medusa","IT","2025-12-17","2025-12-19","callipogroup.it","","","200000"
"beausejourco-op.crs","Agriculture and Food Production","devman","CA","2025-12-16","2025-12-18","beausejourco-op.crs","","",""
"Sampoerna Agro","Agriculture and Food Production","medusa","ID","2025-12-13","2025-12-19","","","","100000"
"Inter-American Tropical Tuna Commission (IATTC)","Agriculture and Food Production","minteye","US","2025-12-12","2025-12-12","www.iattc.org","","",""
"häussermann stauden gehölze gmbh","Agriculture and Food Production","brotherhood","DE","2025-12-10","2025-12-10","haeussermann.com","","",""
"dillonyarn.com","Agriculture and Food Production","abyss","US","2025-12-10","2025-12-10","dillonyarn.com","","",""
"Sem Val de Bourgogne","Agriculture and Food Production","qilin","FR","2025-12-10","2025-12-10","www.semvaldebourgogne.fr","","",""
"Productos Lácteos Flor de Aragua CA","Agriculture and Food Production","devman","","2025-12-10","2025-12-16","www.unre.com","","",""
"The Lewis Bear","Agriculture and Food Production","akira","US","2025-12-10","2026-01-05","lewisbearcompany.com","","yes",""
"Empresas Maggi","Agriculture and Food Production","worldleaks","BR","2025-12-09","2025-12-09","www.empresasmaggi.com.br","","",""
"Teruya Brothers Ltd","Agriculture and Food Production","qilin","UY","2025-12-09","2025-12-09","teruyabrothersltd.com","","",""
"Sarmap - Database leaked","Agriculture and Food Production","everest","CH","2025-12-08","2025-12-08","","","",""
"Elite Flower","Agriculture and Food Production","qilin","US","2025-12-08","2026-03-18","www.eliteflower.com","","",""
"www.eliteflower.com","Agriculture and Food Production","lynx","US","2025-12-08","2025-12-08","www.eliteflower.com","","",""
"Granjas 4 Irmãos SA - Agropecuária, Indústria e Comércio","Agriculture and Food Production","worldleaks","BR","2025-12-08","2025-12-08","www.granjas4irmaos.com.br","","",""
"Pan-O-Gold Baking Company","Agriculture and Food Production","akira","US","2025-12-03","2025-12-03","panogold.com","","",""
"Fuji Vegetable Oil","Agriculture and Food Production","akira","US","2025-12-03","2025-12-03","fujioilusa.com","","",""
"J Grennan & Sons","Agriculture and Food Production","akira","IE","2025-12-01","2025-12-24","grennans.ie","","yes",""
"Family Farm and Home","Agriculture and Food Production","worldleaks","US","2025-11-28","2025-11-28"," www.familyfarmandhome.com","","",""
"Chemirol","Agriculture and Food Production","payoutsking","PL","2025-11-27","2026-01-14","chemirol.com","704GB","",""
