industry,type,category,description,subcategories
"Accommodation, Food Services, Arts and Entertainment","exposure","Third-party and supply-chain exposure","Extensive outsourcing and franchise/partner relationships common to hospitality, food service, and entertainment create indirect exposure when a vendor, franchisee, or partner is compromised.","IT help desk / managed service providers (a common initial-access vector, e.g., MGM/Caesars) | Third-party booking, ticketing, and OTA platforms | Food & beverage supply chain and distribution/logistics vendors (e.g., Blue Yonder-type SaaS incidents) | Construction, renovation, and facilities contractors with access to internal systems/data (e.g., Disneyland Paris partner breach) | Staffing agencies and payroll/HR outsourcing providers | Franchise and multi-brand management companies operating shared back-office systems across many independently branded properties"
"Accommodation, Food Services, Arts and Entertainment","exposure","Building, IoT, and physical-operations technology","Smart-building and physical-plant systems increasingly networked to corporate IT, creating an OT-adjacent attack surface distinct to physically large hospitality/entertainment venues.","HVAC, elevator, and building-management systems | Digital signage and in-room entertainment systems | Wi-Fi and guest network infrastructure | Access control and key-card provisioning systems | Ride/attraction control systems (theme parks) and AV/production systems (theaters, arenas)"
"Accommodation, Food Services, Arts and Entertainment","exposure","Corporate, financial, and employee systems","Back-office systems common to any large multi-site employer, holding data attractive for extortion beyond guest-facing systems.","Employee HR/payroll records (SSNs, banking details) | Corporate financial/ERP systems | Email and collaboration/communication platforms | Franchise financial reporting and multi-property accounting consolidations"
"Agriculture, Forestry, Fishing and Food Production","hazard","Initial Access Vectors","How threat actors gain first entry, shaped by the sector's dispersed sites, legacy systems, seasonal/temporary workforce, and heavy reliance on third-party integrators and remote support.","Phishing / business email compromise targeting procurement, logistics and finance staff (single-click compromise, as in the Ahold Delhaize USA breach) | Exploitation of internet-facing/edge devices and unpatched VPNs, RDP and firewalls at remote farms, elevators, plants and cold-storage sites | Mass-exploitation of zero-day/managed-file-transfer and enterprise software vulnerabilities (Cl0p-style campaigns against the sector) | Valid/stolen credentials sourced from infostealer logs (ransomware.live records infostealer-linked exposure for many food/ag domains) | Compromise of third-party IT/OT integrators, MSPs, ag-tech SaaS and remote maintenance access into plant networks | Weak segmentation between corporate IT and plant OT allowing lateral movement from an office foothold into production"
"Agriculture, Forestry, Fishing and Food Production","hazard","Extortion & Impact Tactics","The mix of leverage attackers apply. In this sector the physical perishability and food-security angle amplifies pressure to pay quickly.","Encryption of production/ERP/warehouse and ordering systems that halts slaughter, processing, packing, invoicing and dispatch (JBS, KP Snacks, UNFI) | Double extortion: exfiltration of data plus threat to leak (Conti/KP Snacks; INC Ransom/Ahold Delhaize; BlackMatter/NEW Cooperative) | Perishability-driven time pressure — spoilage of raw materials, finished goods and livestock welfare used as urgency leverage | Food-security / public-safety framing to raise reputational and regulatory stakes on a critical-infrastructure victim | Re-extortion and data-recycling (e.g., 2026 'coinbasecartel' posting reusing JBS data years after the original event) | Triple extortion / harassment of customers, growers, and downstream retailers whose shelves empty during an outage"
"Agriculture, Forestry, Fishing and Food Production","hazard","OT / ICS & Physical-Process Risk","Operational-technology exposure specific to farms and food plants where cyber impact becomes physical and food-safety relevant.","Plant SCADA/PLC and process-control systems for slaughter lines, pasteurization, cooking, canning, milling and bottling | Cold-chain and refrigeration/HVAC controls where downtime causes spoilage or food-safety failures | Automated milking, feeding, ventilation and climate systems in livestock/poultry/dairy operations (animal-welfare risk) | Precision-agriculture and equipment telematics (GPS-guided machinery, grain-drying, irrigation, environmental controls) | Building-management and food-safety monitoring systems (temperature logging, HACCP-linked sensors) | IT/OT convergence and flat networks that let office ransomware reach production floors"
"Agriculture, Forestry, Fishing and Food Production","hazard","Supply-Chain & Third-Party Concentration Risk","The sector's consolidation and just-in-time structure mean one victim's outage propagates widely; conversely, victims are exposed through their many upstream vendors.","Concentration risk in dominant nodes (few large meatpackers, a single primary grocery distributor such as UNFI supplying 30,000+ stores) | Cooperative/shared-platform risk where one hub serves many farms (NEW Cooperative claimed to touch ~40% of US grain production) | Downstream disruption to retailers and food service (empty shelves, salad-kit and crisp shortages) creating contractual and liability exposure | Upstream dependency on agrochemical, seed, feed, packaging and logistics vendors as attack conduits | Ag-tech / SaaS and cloud ERP dependencies (SoilMap-type platforms, farm-management software) | Cross-border, multi-plant footprints that let a single intrusion affect operations on several continents (JBS US/Canada/Australia)"
"Agriculture, Forestry, Fishing and Food Production","hazard","Regulatory, Legal & Food-Security Exposure","Compliance and liability hazards triggered by an incident, heightened by critical-infrastructure designation and personal-data holdings.","Critical-infrastructure reporting obligations (CISA/CIRCIA in the US, NIS2 in the EU) and national food-security scrutiny | Data-breach notification and privacy liability (state AG filings, GDPR) for employee, grower and customer PII/SSNs (Ahold Delhaize 2.2M individuals) | Food-safety regulatory fallout when process/monitoring systems are compromised (FDA/USDA, HACCP records) | Sanctions/OFAC risk when paying groups linked to sanctioned actors | Securities-disclosure exposure for public companies (SEC 8-K / 6-K materiality; Dole and UNFI quantified impacts in filings) | Contractual penalties and litigation from retailers, distributors and cooperative members affected by supply failure"
"Agriculture, Forestry, Fishing and Food Production","hazard","Insider, Workforce & Operational-Maturity Risk","Human and organizational weaknesses characteristic of the sector.","Large seasonal/temporary and low-turnover-training workforce increasing phishing susceptibility | Historically thin cybersecurity budgets and staffing, especially at farms, co-ops and mid-size processors (DHS records noted JBS's pre-attack security as unusually poor) | Legacy and end-of-life systems in plants and back-office (Dole: half of legacy servers affected) | Limited backup/recovery testing and lack of manual fallback procedures for automated operations | Dispersed rural sites with inconsistent monitoring and slow patch cycles | Insider access at co-ops and family/closely-held businesses with informal IT governance"
"Agriculture, Forestry, Fishing and Food Production","exposure","Production & Operational Technology Systems","The plant-floor and field systems whose disruption stops physical output and threatens food safety and animal welfare.","Processing-line SCADA/PLC/DCS (slaughter, milling, pasteurization, cooking, canning, bottling) | Cold-storage / refrigeration / HVAC and environmental controls | Automated milking, feeding, ventilation and livestock climate systems | Precision-ag equipment, telematics, GPS guidance, irrigation and grain-drying controls | Food-safety and quality monitoring/sensor systems (temperature logging, HACCP instrumentation) | Warehouse automation, robotics and conveyance in distribution centers"
"Agriculture, Forestry, Fishing and Food Production","exposure","Enterprise IT, ERP & Ordering/Logistics Platforms","The business systems that, when encrypted, halt ordering, invoicing, dispatch and payment even when the physical plant is intact.","ERP / MRP and inventory-management systems | Electronic ordering, EDI, invoicing and payment systems (UNFI outage crippled ordering/invoicing) | Warehouse-management and transportation/fleet-management systems | Corporate email, file repositories and Active Directory/identity infrastructure | Back-office finance, HR and payroll systems | Legacy and end-of-life servers and end-user computers"
"Agriculture, Forestry, Fishing and Food Production","exposure","Sensitive Data Assets","The data whose exfiltration drives double-extortion leverage and regulatory liability.","Employee/grower PII including SSNs, driver's licenses and passports (Ahold Delhaize: names, DOB, government IDs) | Customer and loyalty/pharmacy data at grocery-affiliated operations | Financial, banking and payment-card records | Proprietary R&D, recipes, breeding/genetics data and agronomic IP (BlackMatter stole NEW Cooperative's SoilMap source code) | Contracts, pricing, supplier and cooperative-member records | Food-safety, traceability and compliance documentation"
"Agriculture, Forestry, Fishing and Food Production","exposure","Third-Party & Supply-Chain Dependencies","External entities and shared platforms whose compromise or whose reliance on the victim creates propagating exposure.","Grocery retailers, food-service buyers and downstream distributors dependent on continuous supply | Cooperative members and affiliated farms sharing a common platform/hub | Upstream input suppliers (seed, feed, fertilizer, agrochemicals, packaging) | Logistics, cold-chain and 3PL transportation providers | Ag-tech / farm-management SaaS, cloud ERP and remote-support MSPs/integrators | Payment processors and banking partners"
"Agriculture, Forestry, Fishing and Food Production","exposure","Physical Goods, Livestock & Continuity Assets","Sector-unique tangible exposures that convert cyber downtime into direct physical loss.","Perishable raw materials and finished inventory at risk of spoilage during outages | Live animals dependent on automated feeding, watering and climate control (welfare and mortality risk) | Cold-chain integrity across storage and transit | Seasonal/time-critical processing windows (harvest, slaughter, planting) with no slack to absorb downtime | Manual-workaround capacity and business-continuity/backup infrastructure | Brand/reputation and consumer-trust assets tied to food safety and availability"
"Construction","hazard","Initial Access Vectors","How attackers first get into construction-industry networks, shaped by distributed jobsites, subcontractor sprawl, and reliance on shared enterprise/file-transfer platforms.","Phishing/BEC targeting project managers, estimators and accounts-payable staff (construction's high-value, milestone-based subcontractor and supplier payments make it a prime invoice-fraud/BEC target, often paired with or following a ransomware intrusion) | Exploited perimeter and file-transfer/ERP vulnerabilities in widely-used enterprise software (e.g., Clop's 2025 Oracle E-Business Suite CVE-2025-61882 zero-day campaign hit multiple construction firms, including Bechtel and Kier, within days of each other) | Compromised VPN/RDP credentials, including access issued to jobsite trailers and temporary site networks with weaker controls than corporate HQ | Infostealer-harvested credentials from employee and third-party devices (Ferrovial's July 2026 AiLock incident was linked to over 100 compromised employee and third-party credential sets surfaced via infostealer telemetry) | Compromised or over-privileged subcontractor/vendor remote-access accounts on shared project extranets"
"Construction","hazard","Extortion Tactics","How ransomware groups pressure construction victims to pay, once inside.","Double extortion: encryption plus exfiltration and leak-site publication of stolen files (the dominant model seen across Qilin, LockBit, Akira, Play, DragonForce, INC Ransom incidents in the dataset) | Triple extortion / regulatory and reputational threats (AiLock explicitly threatens to notify regulators and competitors and gives victims a 72-hour response window) | Pure data-theft extortion without encryption (Everest has shifted toward this model; used against Turner Construction) | Threats to leak competitively sensitive bid, pricing and design data to rival bidders or competitors ahead of tender awards | Mass 'name-and-shame' campaigns where dozens of victims across many industries (including construction) are listed together after a single shared-software exploit, increasing pressure via public exposure even before individualized negotiation"
"Construction","hazard","OT, IoT and Jobsite/Facilities Technology Risk","Physical and operational-technology exposure distinct to construction and post-construction facilities management, generally less targeted today than pure-IT systems but a growing concern.","Building Management/Automation Systems (BMS/BAS) for HVAC, elevators and life-safety systems on projects under a firm's ongoing facilities-management or warranty-service contracts | Connected heavy-equipment telematics and fleet/GPS tracking systems | Jobsite IoT sensors (structural/concrete-cure monitoring, environmental sensors) | Site security systems - cameras, badge/access control - on active construction sites | Potential physical-safety and schedule-disruption consequences if OT/jobsite systems are affected, distinct from pure data-confidentiality harm"
"Construction","hazard","Third-Party and Supply-Chain Risk","Construction projects run through deep, multi-tier subcontractor and design-partner networks and shared platforms, creating single points of failure that can cascade across many unrelated firms.","Shared collaboration/BIM platforms (e.g., Procore, Autodesk Construction Cloud/BIM 360) linking general contractors, architects, engineers, and dozens of subcontractors | Common enterprise software creating simultaneous multi-victim exposure (Bechtel and Kier Group were both hit within the same week during Clop's Oracle EBS campaign, despite being unrelated companies) | General contractor -> subcontractor -> sub-subcontractor credential and data flows, where the weakest link in the chain can expose the whole project | Architecture/engineering design partners and geotechnical/survey consultants with access to shared project data | Owner and lender portals used for draw requests and project financing, exposing financial data outside the contractor's own perimeter"
"Construction","hazard","Insider and Workforce Risk","Construction's large, transient, multi-employer labor force creates distinctive access-management challenges.","Shared or generic site-login credentials used across union labor, day laborers and rotating temp/subcontractor staff | Weak or inconsistent offboarding across multi-employer jobsites when subcontractor personnel change frequently | Disgruntled former employees or terminated subcontractors retaining VPN/portal access | Field staff use of personal/BYOD devices for project apps, increasing infostealer and credential-theft exposure outside corporate IT control"
"Construction","hazard","Regulatory and Contractual Exposure","Legal and contractual consequences specific to how construction firms hold data and are bound by project agreements.","Employee PII/payroll breach notification obligations (AECOM's 2021 incident exposed employee SSNs and bank routing/account numbers and required notification to the California Attorney General) | Government-contractor obligations (major defense/energy/critical-infrastructure contractors such as Bechtel and AECOM handle DoD/DOE and critical-infrastructure work, raising CMMC/DFARS-style breach-notification and controlled-technical-information exposure) | Professional liability/errors-and-omissions exposure if stolen design, CAD/BIM or structural-engineering data proves defective or is misused after a leak | Contractual delay-damages/liquidated-damages exposure if ransomware-driven downtime in scheduling, procurement, or payroll systems cascades into project schedule slippage | Bid-integrity and antitrust-adjacent exposure if leaked tender/pricing data undermines competitive bidding processes"
"Construction","hazard","Business Interruption / Project Delay Risk","How ransomware translates into operational and financial disruption specific to project-based construction work.","Disruption to estimating, scheduling and project-management software halting active bid submissions or project coordination | ERP/accounting/payroll system outages disrupting subcontractor and supplier payments, risking mechanic's-lien and cash-flow disputes | Procurement and material-ordering system outages delaying material delivery to active job sites | Indirect (rather than physical-site) downtime: unlike manufacturing OT shutdowns, ransomware in construction more often stalls back-office/coordination functions than the physical build itself, per Sophos data showing lower rates of data-theft/encryption combination in construction/property/energy versus manufacturing"
"Construction","exposure","Project and Design Data","The core intellectual property of a construction or engineering firm, of high value both for extortion leverage and to competitors.","CAD and BIM (Building Information Modeling) files | Architectural drawings and blueprints | Structural, MEP and civil engineering calculations | Geotechnical and site-survey data | Proprietary construction methods and engineering IP"
"Construction","exposure","Bid, Contract and Financial Data","Commercially sensitive project economics and the financial systems that manage them - a favored ransomware and extortion target.","Tender/bid documents and competitive pricing data | Contract terms and subcontractor pricing schedules | Procurement and vendor/supplier data | ERP and accounting systems (e.g., Oracle E-Business Suite - the shared platform exploited in the 2025 Clop campaign that hit Bechtel and Kier) | Banking and wire-transfer details, a frequent target for invoice-fraud/BEC layered on top of ransomware intrusions"
"Construction","exposure","Employee and Workforce PII","Personal data held on large, often multi-employer workforces.","Payroll systems (SSNs, bank account/routing numbers - exposed in AECOM's 2021 breach) | HR files and personnel records | Union membership and labor records | Licensing, certification and background-check records for skilled trades | Badge and physical access-control credentials"
"Construction","exposure","Field and Jobsite Systems","Technology deployed at or connecting to active construction sites, often with weaker security posture than corporate headquarters.","Project-management/collaboration platforms (Procore, Autodesk Construction Cloud/BIM 360, PlanGrid) | Jobsite security cameras and access-control systems | Equipment telematics and fleet-management/GPS tracking systems | Connected/automated heavy machinery | Temporary site networks and trailer-based IT infrastructure"
"Construction","exposure","Building Management and Facilities Systems","Operational technology exposure that persists beyond project completion, for firms with ongoing facilities-management, warranty or operations contracts.","Building Management/Automation Systems (HVAC, elevators) | Life-safety systems (fire, alarm) in occupied buildings under warranty/FM contracts | Toll-road, transit and infrastructure operational systems for firms that also operate (not just build) infrastructure assets (e.g., Ferrovial's toll-road and mobility operations)"
"Construction","exposure","Third-Party and Subcontractor Networks","External parties and shared infrastructure that extend a construction firm's attack surface beyond its own perimeter.","Shared extranets/portals used by subcontractors, architects and engineers | Owner and lender draw-request/financing portals | Common enterprise software shared industry-wide, creating correlated multi-victim exposure | Managed IT/security service providers used by smaller subcontractors"
"Construction","exposure","Client and Government-Owner Data","Sensitive project data held on behalf of government and critical-infrastructure clients, elevating national-security and export-control considerations for some firms.","Defense, energy and critical-infrastructure project data (Bechtel and AECOM both handle large DoD/DOE and critical-infrastructure programs) | Potentially export-controlled or classified-adjacent technical data for defense/energy construction work | Public infrastructure and toll/transit operational data"
"Educational Services","hazard","Initial Access via Open and Federated Campus Environments","Education networks are architecturally adversarial to containment. Universities operate deliberately open networks supporting public research collaboration, guest access, self-managed student devices and thousands of transient accounts per year, while K-12 districts run flat networks with minimal segmentation and small IT teams. Sophos found exploited vulnerabilities to be the single largest root cause in higher education (35% of attacks) and phishing the leading cause in lower education (22%), reflecting the two different failure modes. Verizon DBIR data has repeatedly placed social engineering and system intrusion as the dominant education breach patterns.","Unpatched internet-facing infrastructure (VPN concentrators, VMware ESXi, Citrix, file transfer appliances) | Phishing and business email compromise against faculty, staff and payroll | Compromised credentials and absent or partial MFA on student/staff SSO | Federated identity and SSO trust chains (Shibboleth, InCommon, eduGAIN, Entra ID) enabling lateral movement across institutions | BYOD and unmanaged student-owned devices on production VLANs | Flat, unsegmented K-12 district networks linking administrative and instructional systems | Research collaboration links, shared HPC clusters and inter-institutional data sharing | Remote and hybrid learning infrastructure, exposed RDP and legacy remote access | Seasonal staffing churn, adjunct and contractor accounts, and stale account deprovisioning"
"Educational Services","hazard","Extortion Leverage from Minors' and Student Data","Education is uniquely coercible because the hostage data belongs largely to children. Actors have moved from encryption-first to exfiltration-led extortion and apply pressure through channels unavailable in other sectors: publishing psychological evaluations, special-education records and abuse reports, and contacting students and parents directly. In the LAUSD and Minneapolis cases the leaked corpora included student psychological assessments, and in Minneapolis campus security blueprints - creating physical-safety as well as privacy harm. Sophos recorded extortion-only (no encryption) attacks rising in both education strata.","Publication of minors' PII, disciplinary, special-education and counselling records | Release of student psychological and medical assessments | Direct contact with parents, students and staff to amplify pressure (triple extortion) | Leak of campus security blueprints, floor plans and access-control layouts | FERPA/COPPA notification exposure used as negotiating leverage | Reputational leverage over admissions, enrolment and donor confidence | Timing of attacks to term start, exams, enrolment or financial-aid deadlines | Re-extortion of individual institutions after a vendor has already paid | Auction and resale of student datasets on leak sites"
"Educational Services","hazard","Third-Party and Edtech Vendor Concentration Risk","The single most severe systemic hazard in the sector. A handful of SIS, LMS and assessment platforms serve most of the addressable market, so one vendor intrusion becomes a correlated loss across thousands of insureds simultaneously. PowerSchool (Dec 2024) reached a claimed 62.4 million students and 9.5 million teachers across approximately 6,505 districts from one compromised credential; Instructure/Canvas (May 2026) was claimed to affect 275 million users across roughly 9,000 institutions. Verizon's 2026 DBIR reported third-party involvement in 48% of breaches with supply-chain breaches up 60%. For a cyber-insurance portfolio this is the dominant aggregation exposure in the education book.","Student information system (SIS) platform compromise | Learning management system (LMS) platform compromise | Single-vendor concentration across a large book of district/university insureds | Downstream re-extortion of individual schools using vendor-stolen data | Managed service providers and regional education service agencies serving many districts | Tuition, bursar and payment processor compromise | Assessment, proctoring, transcript and admissions platforms | Cloud file transfer and third-party SaaS (e.g. mass MOVEit/Cleo-style exploitation reaching education via clop) | Contractual gaps in vendor breach notification, indemnity and data-deletion assurance"
"Educational Services","hazard","Insider and Student-Originated Threat","Education is the rare sector in which a substantial share of the resident population is both technically capable and directly motivated to attack the institution's systems - for grade alteration, exam access or reputational reasons - while holding legitimate network credentials. The PowerSchool intrusion was ultimately attributed by the US DOJ to a 19-year-old university student, who pleaded guilty. Insider events blur the ransomware/fraud boundary and complicate coverage triggers.","Student credential abuse and grade or transcript alteration | Attacks originating from enrolled students against their own institution | Faculty and staff insider data theft | Credential sharing, shadow IT and unauthorised SaaS in departments | Initial access broker purchase of student/staff credentials from infostealer logs | Departing staff and contractor access retention | Negligent insiders and misconfigured shares exposing student records"
"Educational Services","hazard","Regulatory, Notification and Litigation Exposure","Education carries a dense, overlapping and unusually child-focused compliance regime, so a single ransomware event generates parallel regulatory tracks. FERPA and COPPA apply federally in the US, layered with state student-privacy statutes and state breach laws; UK and EU institutions face UK GDPR/GDPR and ICO scrutiny; universities holding clinical or research-health data additionally trigger HIPAA. Notification is frequently slow - Minneapolis took seven months to notify 105,617 people, and the University of Hawai'i Cancer Center's delay in notifying study participants drew specific criticism - which compounds regulatory and class-action risk.","FERPA (US student education records) | COPPA and state student-privacy laws (e.g. SOPIPA-style statutes) | State breach-notification statutes and attorney-general inquiries | UK GDPR / EU GDPR and ICO or DPA enforcement | HIPAA exposure for university medical centres, clinics and health research | Research funder, IRB and human-subjects data obligations | Class-action litigation on behalf of students, parents and staff | Delayed-notification liability and credit-monitoring remediation costs | Public-records and transparency obligations for public institutions"
"Educational Services","hazard","Operational Disruption of Instruction and Institutional Continuity","Unlike most commercial insureds, schools cannot fail over to a degraded manual mode: an encrypted district frequently closes entirely. Highline Public Schools shut all 34 schools for three days; the British Library's core services were disrupted for months. Comparitech measured an average of 10.7 days of downtime per education incident, peaking at 12.6 days in 2023. Lost instructional days carry statutory make-up obligations, transport and meal-programme knock-ons, and in higher education can delay terms, research grants and graduation.","Full school or campus closure and lost instructional days | Statutory make-up day and calendar-extension obligations | Loss of attendance, gradebook, timetabling and transport systems | Disruption to free/reduced meal programmes and student services | Payroll, HR and accounts-payable outage | Research interruption, lost experiments and grant milestone failure | Admissions, enrolment, registration and financial-aid disruption | Extended rebuild and device re-imaging across large fleets | Library, catalogue and digital collection outage"
"Educational Services","hazard","Underfunded Security Posture and Recovery Capability","The sector's loss severity is driven less by attacker sophistication than by chronic under-resourcing. Sophos found lack of expertise and limited incident-response capacity cited by 42% each in lower education, and 49% of higher education institutions citing unknown security gaps. Backup reliability has degraded: recovery from backups fell to 59% in lower education and 47% in higher education. Public institutions face procurement cycles, capital-budget constraints and elected-board approval that slow both hardening and response.","Small or single-person IT teams in K-12 districts | Legacy and end-of-life systems retained on constrained capital budgets | Backup compromise, untested restores and insufficient offline copies | Absence of 24/7 monitoring, EDR coverage gaps and alert fatigue | Limited or absent cyber insurance and incident-response retainers | Slow public procurement and board-approval cycles | Reserve depletion funding recovery (British Library used c.40% of reserves) | IT staff burnout and turnover following incidents | Decentralised university IT with no central authority over departmental systems"
"Educational Services","exposure","Student Information Systems (SIS) and Core Records","The system of record for enrolment, demographics, attendance, discipline and transcripts, and the highest-value single target in education because it concentrates minors' PII for an entire district or institution in one platform. SIS compromise is both a direct exposure at the institution and, via the vendor, the sector's principal aggregation event - the PowerSchool intrusion reached a claimed 62.4 million students and 9.5 million teachers across approximately 6,505 districts.","Enrolment, demographic and household records | Attendance and truancy data | Disciplinary and behavioural records | Transcripts, grades and academic history | Special-education (IEP/504) records | Immunisation and student health records held in SIS | Emergency contact and guardian/custody information | Free and reduced-price meal eligibility (income-linked) | Vendor-hosted SIS instances and SIS data warehouses"
"Educational Services","exposure","Learning Management Systems, Gradebooks and Instructional Platforms","The day-to-day instructional layer - LMS, gradebook, courseware, assessment and proctoring tools. Outage halts teaching directly, and the platforms hold years of coursework, private messaging and behavioural data. The May 2026 Instructure/Canvas incident demonstrated the scale: attackers claimed 3.6TB covering 275 million users across roughly 9,000 institutions, including private student-teacher messages, in a platform used by 41% of US higher education institutions.","LMS platforms (Canvas, Blackboard, Moodle, Schoology, Google Classroom) | Gradebooks and assignment/submission repositories | Private messaging between students, teachers and staff | Online assessment, exam and remote-proctoring systems | Lecture capture, courseware and digital content libraries | Plagiarism detection and academic-integrity tooling | Course rosters, section data and LTI integrations | Single sign-on tokens and API keys linking LMS to institutional identity"
"Educational Services","exposure","Financial Aid, Bursar, Payroll and Payment Systems","Education institutions process tuition, financial aid, donations, payroll and vendor payments, and financial-aid files in particular concentrate exactly the identity elements needed for fraud - SSNs, bank details and full household income data (FAFSA). Encryption here halts payroll and disbursement; exfiltration produces the sector's highest per-record identity-theft severity.","Financial aid, FAFSA, scholarship and loan records | Bursar, tuition billing and student account systems | Payroll, HR and benefits data for staff and faculty | Bank account and direct deposit details | Social Security numbers and taxpayer identifiers | Third-party tuition payment processors and gateways | Procurement, accounts payable and vendor master files | Campus card and stored-value/dining account systems | Grant accounting and research funding administration"
